id,ch1,ch2,ch3,ch4,ch5
0,-34.1796875,-452.63671875,-44.921875,-134.765625,-405.76171875
1,-75.68359375,-559.08203125,-246.58203125,-200.1953125,-284.1796875
2,-64.94140625,-370.60546875,-312.01171875,-270.5078125,318.359375
3,-155.2734375,-131.34765625,-307.12890625,-276.85546875,975.09765625
4,-210.9375,-222.16796875,-280.2734375,-302.24609375,-146.97265625
5,-273.4375,-331.0546875,-287.109375,-344.7265625,186.03515625
6,-319.82421875,-185.546875,-201.66015625,-264.6484375,-308.59375
7,-245.60546875,-97.16796875,-255.37109375,-296.875,172.8515625
8,-440.91796875,-185.05859375,-273.4375,-279.78515625,-69.82421875
9,-295.41015625,-299.31640625,-349.12109375,-392.578125,680.17578125
10,-289.0625,-554.6875,-297.8515625,-265.13671875,488.76953125
11,-254.8828125,-544.43359375,-292.96875,-389.6484375,42.48046875
12,-168.45703125,-594.23828125,-196.77734375,-124.51171875,1054.19921875
13,-39.55078125,-367.1875,-242.67578125,-264.16015625,-193.84765625
14,-624.51171875,-450.1953125,-341.30859375,-687.5,-688.4765625
15,-408.69140625,-324.70703125,-380.37109375,-555.6640625,401.85546875
16,-220.703125,-583.984375,-262.6953125,-358.88671875,443.84765625
17,-100.09765625,-568.84765625,-231.4453125,-160.15625,566.40625
18,-149.90234375,-372.55859375,-275.87890625,-258.30078125,-141.11328125
19,-198.73046875,-337.40234375,-272.94921875,-344.23828125,70.80078125
20,-237.79296875,-372.55859375,-250.48828125,-278.80859375,165.52734375
21,-316.89453125,-306.640625,-282.71484375,-416.9921875,-270.99609375
22,-343.26171875,-124.0234375,-279.296875,-279.296875,562.5
23,-213.8671875,-119.140625,-236.328125,-299.8046875,113.28125
24,-156.25,-165.0390625,-250.48828125,-218.26171875,-33.69140625
25,-231.4453125,-239.2578125,-334.47265625,-335.44921875,327.63671875
26,-169.921875,-295.41015625,-312.01171875,-380.859375,-764.16015625
27,-211.42578125,-323.2421875,-251.953125,-278.80859375,687.5
28,-270.01953125,-372.0703125,-247.55859375,-262.6953125,961.42578125
29,-189.94140625,-293.45703125,-212.40234375,-263.671875,-253.90625
30,-169.43359375,-310.546875,-226.07421875,-190.4296875,609.375
31,-74.70703125,-338.8671875,-180.6640625,-165.52734375,-360.83984375
32,-77.63671875,-268.5546875,-182.6171875,-193.84765625,380.37109375
33,-189.94140625,-414.0625,-186.03515625,-220.703125,376.953125
34,-208.0078125,-555.6640625,-208.0078125,-291.9921875,-166.50390625
35,-186.5234375,-419.921875,-257.32421875,-298.33984375,119.140625
36,-248.046875,-290.52734375,-255.859375,-327.1484375,-198.73046875
37,-344.7265625,-205.078125,-366.69921875,-438.96484375,199.70703125
38,-410.64453125,-28.3203125,-686.5234375,-751.46484375,248.046875
39,-223.6328125,-152.34375,-526.3671875,-440.91796875,313.4765625
40,-143.06640625,-236.81640625,-387.20703125,-458.0078125,-24.90234375
41,-152.83203125,-319.3359375,-308.59375,-335.9375,707.51953125
42,-183.10546875,-330.078125,-365.72265625,-347.16796875,549.8046875
43,-209.9609375,-321.77734375,-344.23828125,-276.3671875,-157.2265625
44,-186.5234375,-358.3984375,-330.56640625,-223.6328125,155.2734375
45,-85.9375,-360.3515625,-207.51953125,-231.93359375,244.140625
46,-254.39453125,-536.62109375,15.13671875,-221.19140625,441.40625
47,-138.18359375,-467.7734375,-38.0859375,-96.19140625,229.00390625
48,-127.9296875,-445.3125,-124.0234375,-217.7734375,-369.62890625
49,-206.0546875,-500.9765625,-171.875,-224.12109375,-373.046875
50,-220.703125,-401.3671875,-182.12890625,-270.01953125,355.95703125
51,-328.61328125,-435.05859375,-202.63671875,-305.17578125,208.984375
52,-366.2109375,-284.1796875,-193.84765625,-310.546875,-105.46875
53,-395.01953125,-155.76171875,-350.09765625,-483.3984375,241.2109375
54,-379.39453125,-205.078125,-449.70703125,-532.71484375,95.703125
55,-257.32421875,-280.76171875,-408.69140625,-512.20703125,515.625
56,-271.97265625,-351.5625,-279.78515625,-416.015625,-259.27734375
57,-248.53515625,-354.98046875,-279.78515625,-251.46484375,195.80078125
58,-233.3984375,-320.3125,-272.94921875,-370.60546875,541.50390625
59,-211.42578125,-332.51953125,-256.8359375,-304.6875,-152.34375
60,-67.87109375,-249.51171875,-186.03515625,-217.7734375,663.57421875
61,-65.4296875,-382.32421875,-226.07421875,-122.55859375,-112.3046875
62,-75.68359375,-365.72265625,-296.875,-186.5234375,-31.25
63,-172.8515625,-461.42578125,-292.96875,-275.390625,522.4609375
64,-208.0078125,-503.90625,-218.75,-358.3984375,919.43359375
65,-359.375,-402.34375,-230.95703125,-296.38671875,1151.85546875
66,-374.51171875,-232.91015625,-274.4140625,-325.68359375,-690.4296875
67,-187.98828125,-275.390625,-207.03125,-531.73828125,-536.1328125
68,-169.921875,-325.68359375,-290.0390625,-268.5546875,29.296875
69,-195.80078125,-506.34765625,-326.171875,-367.67578125,310.05859375
70,-221.6796875,-576.66015625,-180.6640625,-227.05078125,663.57421875
71,-68.84765625,-456.0546875,-137.20703125,-299.8046875,669.43359375
72,-2.9296875,-860.3515625,-170.41015625,-176.7578125,1.953125
73,-70.3125,-1061.5234375,-194.82421875,-115.72265625,167.96875
74,4.39453125,-799.31640625,-211.42578125,-206.54296875,105.95703125
75,-92.28515625,-675.78125,-222.16796875,-270.99609375,345.21484375
76,-231.4453125,-277.34375,-192.3828125,-334.9609375,422.36328125
77,-346.19140625,468.75,-240.234375,-462.890625,451.66015625
78,-580.56640625,508.7890625,-334.9609375,-563.4765625,-197.265625
79,-635.7421875,285.15625,-351.07421875,-588.8671875,-795.41015625
80,-638.671875,-171.38671875,-323.2421875,-672.8515625,-286.1328125
81,-735.3515625,-238.76953125,-295.8984375,-577.63671875,-610.3515625
82,-717.28515625,0.0,-177.734375,-566.40625,273.92578125
83,-430.17578125,295.8984375,320.80078125,-392.578125,367.1875
84,50.29296875,254.39453125,222.16796875,-180.6640625,468.26171875
85,102.05078125,150.87890625,93.75,-183.10546875,493.1640625
86,-925.29296875,10.25390625,-241.69921875,-1258.7890625,143.5546875
87,-1086.42578125,-11.23046875,-337.890625,-1438.4765625,721.6796875
88,-7.8125,-408.69140625,-307.12890625,-297.36328125,427.734375
89,320.80078125,-1617.1875,-248.046875,265.13671875,918.9453125
90,121.58203125,-1159.66796875,-172.8515625,16.11328125,-183.10546875
91,-498.046875,165.52734375,-183.10546875,-584.47265625,-485.83984375
92,-889.6484375,-19.53125,65.4296875,-793.9453125,97.65625
93,-84.47265625,-361.81640625,201.66015625,65.91796875,-125.9765625
94,298.828125,-345.703125,-83.49609375,378.90625,70.80078125
95,275.390625,-339.84375,-168.45703125,349.12109375,-138.18359375
96,183.10546875,-386.71875,-240.72265625,222.65625,-20.5078125
97,81.54296875,-514.6484375,-249.0234375,225.5859375,-1094.23828125
98,138.671875,-474.12109375,-229.00390625,201.66015625,361.81640625
99,129.8828125,-416.9921875,-229.00390625,124.51171875,586.9140625
100,85.44921875,-422.8515625,-220.21484375,118.65234375,119.140625
101,107.91015625,-398.4375,-202.63671875,-16.6015625,883.7890625
102,-9.765625,-426.26953125,-247.0703125,-115.234375,461.42578125
103,-41.50390625,-443.359375,-312.5,-52.24609375,764.16015625
104,-329.58984375,-147.4609375,-649.90234375,-913.0859375,-527.83203125
105,-347.16796875,-220.21484375,-583.984375,-619.140625,-567.3828125
106,-322.265625,-318.359375,-537.109375,-667.48046875,-1818.359375
107,-284.1796875,-380.859375,-408.203125,-354.98046875,-1406.73828125
108,-166.50390625,-392.578125,-374.51171875,-343.75,1121.58203125
109,-286.1328125,-452.63671875,-329.1015625,-383.30078125,645.5078125
110,-243.65234375,-388.18359375,-323.73046875,-270.01953125,-173.828125
111,-281.25,-387.20703125,-355.46875,-353.02734375,241.69921875
112,-314.453125,-476.07421875,-492.67578125,-488.28125,83.49609375
113,-120.1171875,-245.60546875,-364.74609375,-390.13671875,1082.03125
114,237.79296875,4.8828125,537.59765625,-156.73828125,968.26171875
115,136.71875,-65.91796875,1430.17578125,-60.546875,1970.703125
116,284.1796875,-87.890625,1058.59375,-211.42578125,1484.86328125
117,-33.69140625,-132.32421875,376.953125,-89.35546875,696.2890625
118,51.26953125,-185.546875,12.20703125,-342.7734375,967.7734375
119,-176.26953125,-262.20703125,-220.703125,-337.40234375,794.921875
120,-179.19921875,-319.3359375,-294.921875,-390.625,-25.87890625
121,-103.515625,-505.37109375,-344.7265625,-325.1953125,-450.1953125
122,-72.75390625,-1018.5546875,-444.3359375,-411.62109375,-687.01171875
123,-53.22265625,-1639.16015625,-453.125,-356.4453125,-1312.98828125
124,-38.57421875,-1485.83984375,-487.79296875,-250.48828125,-1123.53515625
125,65.91796875,80.078125,-468.26171875,-175.78125,766.6015625
126,44.43359375,569.3359375,-198.73046875,-257.32421875,900.87890625
127,-92.7734375,367.1875,-226.5625,-357.421875,10.7421875
128,-168.9453125,266.11328125,-261.71875,-255.859375,94.7265625
129,-353.515625,-9.27734375,-315.4296875,-467.7734375,-4.8828125
130,-431.15234375,-129.39453125,-348.14453125,-597.65625,208.49609375
131,-424.31640625,-276.3671875,-342.7734375,-601.07421875,98.6328125
132,-465.8203125,-373.53515625,-341.796875,-546.38671875,-430.6640625
133,-506.34765625,-774.4140625,-330.078125,-718.26171875,-531.25
134,-1204.58984375,-1310.05859375,-346.19140625,-1470.21484375,765.625
135,-1426.26953125,135.7421875,-314.94140625,-1640.13671875,1488.28125
136,-458.984375,-74.21875,-230.95703125,-566.89453125,350.09765625
137,246.09375,-686.5234375,-225.5859375,339.84375,1288.0859375
138,553.7109375,-566.89453125,-271.97265625,385.7421875,192.87109375
139,352.05078125,-397.4609375,-284.1796875,307.12890625,-7.32421875
140,367.67578125,-308.59375,-260.7421875,248.53515625,898.4375
141,176.26953125,-367.1875,-286.1328125,92.7734375,-142.578125
142,121.58203125,-425.78125,-255.859375,68.84765625,201.66015625
143,-35.15625,-482.91015625,-208.984375,-222.16796875,-641.6015625
144,39.55078125,-500.0,-216.30859375,-94.7265625,395.99609375
145,-26.3671875,-472.65625,-143.06640625,-142.578125,-16.6015625
146,-140.625,-425.78125,-193.84765625,-208.49609375,255.37109375
147,-255.859375,-418.9453125,-209.47265625,-332.51953125,860.83984375
148,-159.1796875,-330.56640625,-252.44140625,-397.4609375,82.03125
149,-261.23046875,-426.26953125,-195.80078125,-322.75390625,-26.85546875
150,-296.875,-461.9140625,-289.0625,-431.640625,367.67578125
151,-269.53125,-507.8125,-332.03125,-398.4375,395.01953125
152,-211.42578125,-434.08203125,-314.453125,-348.14453125,389.16015625
153,-276.85546875,-465.8203125,-314.94140625,-409.1796875,-85.44921875
154,-255.859375,-437.5,-303.22265625,-363.28125,1111.81640625
155,-316.40625,-376.46484375,-345.703125,-437.5,482.421875
156,-327.63671875,-360.3515625,-291.015625,-475.09765625,312.98828125
157,-300.29296875,-372.55859375,-283.69140625,-475.5859375,-493.1640625
158,-166.9921875,-376.953125,-287.59765625,-428.22265625,226.5625
159,-239.2578125,-445.3125,-268.06640625,-278.3203125,474.12109375
160,-197.265625,-472.16796875,-291.50390625,-268.5546875,-184.08203125
161,-202.1484375,-416.50390625,-255.859375,-183.59375,872.55859375
162,-166.015625,-380.859375,-228.515625,-290.52734375,-397.4609375
163,-179.19921875,-362.3046875,-248.046875,-339.35546875,-36.1328125
164,-219.23828125,-378.41796875,-299.8046875,-434.08203125,270.5078125
165,-213.8671875,-407.2265625,-277.83203125,-316.40625,128.90625
166,-202.63671875,-429.19921875,-291.50390625,-333.0078125,88.37890625
167,-325.68359375,-447.75390625,-288.0859375,-402.83203125,464.84375
168,-242.67578125,-406.25,-281.73828125,-362.79296875,559.5703125
169,-339.35546875,-407.2265625,-274.4140625,-400.87890625,529.296875
170,-337.40234375,-393.5546875,-304.19921875,-473.6328125,-304.19921875
171,-432.12890625,-420.8984375,-314.453125,-617.67578125,321.77734375
172,-292.96875,-373.53515625,-192.87109375,-417.96875,-200.68359375
173,-255.37109375,-395.99609375,-236.328125,-354.98046875,391.11328125
174,-155.2734375,-411.62109375,-263.18359375,-187.01171875,168.45703125
175,-177.734375,-464.84375,-274.4140625,-248.046875,286.62109375
176,-139.6484375,-525.390625,-252.9296875,-198.2421875,380.37109375
177,-184.08203125,-504.39453125,-220.21484375,-273.4375,409.66796875
178,-308.10546875,-558.59375,-233.3984375,-430.17578125,-7.32421875
179,-329.1015625,-329.58984375,-275.390625,-446.77734375,253.90625
180,-439.94140625,-214.84375,-231.93359375,-401.3671875,58.59375
181,-429.6875,-234.86328125,-252.44140625,-565.91796875,-732.421875
182,-375.9765625,-318.84765625,-236.328125,-542.48046875,-163.57421875
183,-262.20703125,-313.4765625,-227.05078125,-403.3203125,592.28515625
184,25.390625,-265.625,-268.5546875,-167.48046875,51.7578125
185,-6.34765625,-384.765625,-286.1328125,-80.078125,578.61328125
186,6.8359375,-740.72265625,-253.90625,-35.15625,269.04296875
187,-71.77734375,-545.41015625,-191.89453125,-146.484375,795.41015625
188,-217.28515625,-256.8359375,-212.40234375,-301.7578125,-54.6875
189,-386.23046875,-81.54296875,-261.71875,-408.69140625,284.1796875
190,-320.80078125,-27.34375,-303.7109375,-464.84375,403.3203125
191,-440.91796875,-181.15234375,-285.15625,-580.078125,-264.6484375
192,-446.77734375,-251.953125,-280.2734375,-516.11328125,607.91015625
193,-233.3984375,-242.67578125,-228.515625,-407.71484375,-506.8359375
194,-218.26171875,-280.76171875,-253.90625,-331.54296875,104.00390625
195,-333.984375,-329.58984375,-300.29296875,-363.28125,645.99609375
196,-178.7109375,-328.125,-274.90234375,-410.64453125,553.22265625
197,-266.11328125,-377.9296875,-272.94921875,-386.23046875,374.0234375
198,-254.8828125,-390.625,-297.36328125,-474.609375,-302.734375
199,-238.76953125,-396.484375,-337.890625,-521.97265625,504.8828125
200,-355.95703125,-421.875,-307.12890625,-478.02734375,389.16015625
201,-281.73828125,-443.359375,-262.6953125,-407.2265625,-597.16796875
202,-174.8046875,-341.796875,-220.21484375,-335.44921875,499.0234375
203,-153.80859375,-320.80078125,-173.33984375,-237.79296875,-157.71484375
204,-22.4609375,-341.796875,-220.703125,-105.95703125,801.26953125
205,-64.453125,-318.84765625,-189.453125,-135.7421875,-502.9296875
206,-61.03515625,-347.65625,-206.54296875,-218.75,85.44921875
207,-50.78125,-321.77734375,-218.75,-125.0,430.6640625
208,-379.8828125,-375.9765625,-262.6953125,-382.32421875,682.12890625
209,-434.08203125,-392.578125,-340.8203125,-518.06640625,824.21875
210,-419.921875,-407.71484375,-255.859375,-502.44140625,-363.28125
211,-20.99609375,-342.7734375,-324.70703125,-420.8984375,-282.71484375
212,-314.94140625,-379.8828125,-209.9609375,-334.9609375,159.66796875
213,122.55859375,-405.2734375,-250.48828125,-108.88671875,-316.40625
214,108.88671875,-358.88671875,-250.0,-72.75390625,638.671875
215,-15.13671875,-372.55859375,-172.36328125,-71.77734375,236.81640625
216,-5.37109375,-280.76171875,-192.3828125,-304.6875,341.30859375
217,-136.71875,-296.875,-263.18359375,-354.4921875,191.40625
218,-135.7421875,-334.47265625,-294.43359375,-446.77734375,-430.6640625
219,-182.6171875,-356.93359375,-295.41015625,-349.609375,851.5625
220,-150.87890625,-384.765625,-287.59765625,-373.046875,45.8984375
221,-159.66796875,-337.890625,-303.22265625,-380.859375,360.83984375
222,-174.31640625,-330.078125,-268.06640625,-208.0078125,1103.515625
223,-198.73046875,-347.65625,-357.91015625,-458.49609375,-283.203125
224,-318.84765625,-329.1015625,-326.66015625,-453.61328125,25.390625
225,-264.16015625,-314.453125,-283.203125,-436.5234375,-69.3359375
226,-332.03125,-380.859375,-309.08203125,-458.0078125,539.55078125
227,-264.6484375,-354.98046875,-338.8671875,-496.09375,265.625
228,-210.44921875,-357.421875,-327.1484375,-315.91796875,315.4296875
229,-301.26953125,-371.09375,-301.7578125,-395.01953125,-581.0546875
230,-300.29296875,-370.60546875,-297.8515625,-323.73046875,-81.0546875
231,-209.9609375,-421.38671875,-211.9140625,-327.1484375,357.421875
232,-128.41796875,-370.1171875,-271.484375,-274.4140625,344.7265625
233,-177.24609375,-367.67578125,-275.390625,-229.00390625,552.734375
234,-170.41015625,-378.90625,-259.27734375,-274.90234375,-9.765625
235,-175.78125,-343.26171875,-224.609375,-184.5703125,365.234375
236,-265.625,-296.875,-296.875,-437.01171875,-651.85546875
237,-186.5234375,-355.46875,-304.19921875,-405.76171875,669.921875
238,-175.29296875,-329.1015625,-303.7109375,-366.2109375,96.6796875
239,-223.14453125,-325.1953125,-396.97265625,-370.1171875,-89.84375
240,-365.234375,-367.1875,-288.57421875,-480.46875,279.78515625
241,-242.67578125,-346.19140625,-163.57421875,-358.88671875,-121.09375
242,-184.08203125,-310.05859375,-96.6796875,-215.8203125,929.19921875
243,-124.51171875,-310.05859375,-100.09765625,-269.53125,628.41796875
244,-300.29296875,-397.94921875,-155.76171875,-377.44140625,527.34375
245,-235.3515625,-352.5390625,-159.66796875,-274.4140625,-60.05859375
246,-275.390625,-343.75,-210.44921875,-366.2109375,-622.55859375
247,-186.03515625,-325.68359375,-212.40234375,-320.3125,-274.90234375
248,-271.97265625,-369.140625,-269.53125,-420.8984375,-84.47265625
249,-89.84375,-298.33984375,-315.91796875,-316.89453125,1.46484375
250,-133.30078125,-328.61328125,-296.38671875,-373.046875,842.7734375
251,-247.0703125,-420.8984375,-195.3125,-291.50390625,404.78515625
252,-245.1171875,-428.7109375,-215.33203125,-290.52734375,436.5234375
253,-316.40625,-376.953125,-227.5390625,-420.8984375,-298.33984375
254,-435.05859375,-383.7890625,-255.859375,-303.7109375,283.69140625
255,43.9453125,-231.4453125,-239.74609375,-364.2578125,75.1953125
256,-211.42578125,-266.11328125,-229.98046875,-312.98828125,-106.93359375
257,-176.7578125,-296.38671875,-212.40234375,-330.56640625,818.359375
258,-146.97265625,-342.28515625,-214.35546875,-310.546875,-428.7109375
259,-207.03125,-319.82421875,-192.87109375,-276.85546875,-3.41796875
260,-256.8359375,-363.28125,-301.26953125,-346.19140625,447.265625
261,-172.36328125,-360.3515625,-290.0390625,-273.4375,366.2109375
262,-226.07421875,-378.90625,-253.90625,-168.9453125,945.80078125
263,-269.04296875,-319.3359375,-250.0,-327.63671875,-108.88671875
264,-1188.4765625,-153.3203125,-385.25390625,-1440.4296875,201.171875
265,-1964.84375,-2914.55078125,-418.9453125,-2444.82421875,158.69140625
266,-1028.3203125,-3515.13671875,-191.40625,-1283.69140625,-399.90234375
267,38.0859375,8894.04296875,264.6484375,27.34375,6.8359375
268,789.55078125,9695.3125,396.484375,756.8359375,-89.35546875
269,1224.12109375,9696.2890625,828.61328125,1020.99609375,662.109375
270,673.828125,9694.82421875,564.453125,251.46484375,370.60546875
271,-714.35546875,9498.53515625,-83.0078125,-1073.73046875,-174.8046875
272,-2010.7421875,4216.796875,-191.89453125,-2083.49609375,520.01953125
273,-1692.87109375,41.50390625,-200.68359375,-1841.30859375,-233.88671875
274,-1605.46875,-496.58203125,-147.4609375,-1589.84375,202.1484375
275,-1245.1171875,-205.56640625,-96.6796875,-1232.91015625,405.2734375
276,29.296875,-1004.8828125,-167.48046875,-79.58984375,193.84765625
277,583.984375,-1656.73828125,-233.88671875,397.94921875,-18.06640625
278,-52.734375,-1140.13671875,-363.28125,-190.4296875,-159.1796875
279,-227.05078125,-251.953125,-420.8984375,-429.19921875,103.02734375
280,933.59375,-910.64453125,-396.484375,846.6796875,350.5859375
281,1116.2109375,-2031.73828125,-384.765625,1216.796875,729.98046875
282,847.65625,-2401.3671875,-404.78515625,812.5,-179.6875
283,635.25390625,-2244.140625,-431.640625,647.4609375,191.40625
284,530.76171875,-1877.44140625,-295.8984375,553.7109375,178.22265625
285,346.19140625,-1760.7421875,-262.20703125,287.109375,315.4296875
286,118.1640625,-1484.86328125,-320.3125,139.6484375,911.62109375
287,133.30078125,-1345.703125,-312.98828125,-4.39453125,-367.67578125
288,-154.296875,-1254.8828125,-317.87109375,-125.48828125,367.67578125
289,-105.46875,-1324.70703125,-295.41015625,-189.453125,138.18359375
290,-89.84375,-1296.38671875,-332.51953125,-192.87109375,402.34375
291,-117.67578125,-1141.11328125,-374.51171875,-217.28515625,423.33984375
292,-121.58203125,-616.2109375,-360.83984375,-89.35546875,3.90625
293,49.31640625,-396.97265625,-344.23828125,-219.23828125,587.890625
294,-44.43359375,-348.6328125,-286.62109375,-234.375,-18.06640625
295,-139.6484375,-587.890625,-416.9921875,-350.09765625,-183.10546875
296,-175.78125,-863.28125,-386.23046875,-247.55859375,147.94921875
297,-83.984375,-1083.984375,-323.73046875,-309.08203125,503.90625
298,-133.7890625,-1270.01953125,-295.8984375,-148.92578125,643.5546875
299,-185.546875,-1264.16015625,-314.94140625,-235.83984375,-119.62890625
300,-281.73828125,-1275.390625,-293.45703125,-332.51953125,531.73828125
301,-225.09765625,-1226.5625,-252.9296875,-303.22265625,429.19921875
302,-166.9921875,-1116.69921875,-306.15234375,-325.1953125,-328.61328125
303,-201.171875,-1103.02734375,-321.2890625,-342.28515625,917.48046875
304,-365.72265625,-1061.03515625,-320.80078125,-415.0390625,-203.125
305,-325.1953125,-1024.4140625,-342.28515625,-311.03515625,705.56640625
306,-319.3359375,-960.44921875,-318.84765625,-442.87109375,-639.16015625
307,-359.375,-967.7734375,-355.46875,-408.69140625,-560.05859375
308,-352.05078125,-895.01953125,-338.8671875,-339.35546875,872.55859375
309,-323.2421875,-876.953125,-335.9375,-407.2265625,-2.44140625
310,-261.71875,-824.21875,-351.07421875,-340.8203125,394.53125
311,-160.64453125,-748.53515625,-340.8203125,-316.40625,357.91015625
312,-77.1484375,-708.49609375,-301.7578125,-215.33203125,674.8046875
313,-134.765625,-741.2109375,-332.03125,-280.76171875,156.25
314,-282.2265625,-699.70703125,-373.046875,-414.0625,-349.609375
315,-243.65234375,-697.265625,-422.8515625,-348.6328125,862.79296875
316,-192.87109375,-687.98828125,-427.734375,-305.17578125,113.28125
