id,ch1,ch2,ch3,ch4,ch5
0,-56.640625,-144.53125,-220.703125,-171.38671875,-275.390625
1,-180.6640625,-255.859375,-337.40234375,-262.20703125,-952.1484375
2,-185.05859375,-323.2421875,-384.27734375,-167.48046875,451.66015625
3,-265.13671875,-354.00390625,-416.015625,-145.99609375,360.3515625
4,-281.73828125,-333.984375,-344.23828125,-249.0234375,-530.76171875
5,-310.546875,-324.21875,-349.609375,-219.23828125,536.1328125
6,-283.69140625,-390.625,-356.93359375,-240.234375,-947.75390625
7,-294.43359375,-390.625,-332.03125,-290.0390625,175.29296875
8,-292.48046875,-426.7578125,-419.921875,-343.75,-599.12109375
9,-209.9609375,-407.71484375,-491.2109375,-198.73046875,-401.3671875
10,-203.61328125,-407.71484375,-606.93359375,-208.984375,226.5625
11,-190.4296875,-362.3046875,-572.265625,-241.69921875,-638.671875
12,-151.3671875,-346.19140625,-603.515625,-157.2265625,708.984375
13,-275.390625,-329.58984375,-536.62109375,-195.3125,-832.03125
14,-190.91796875,-330.078125,-468.26171875,-273.92578125,-506.8359375
15,-242.67578125,-346.19140625,-423.33984375,-320.3125,141.6015625
16,-187.98828125,-347.16796875,-304.19921875,-249.51171875,-277.83203125
17,-231.4453125,-308.59375,-291.50390625,-277.83203125,-225.09765625
18,-323.2421875,-273.92578125,-322.265625,-356.4453125,-829.1015625
19,-255.37109375,-261.71875,-299.31640625,-281.73828125,-617.67578125
20,-238.76953125,-290.52734375,-255.37109375,-264.16015625,1.46484375
21,-274.90234375,-358.88671875,-262.6953125,-254.8828125,-407.71484375
22,-204.1015625,-349.609375,-225.5859375,-203.125,359.375
23,-197.265625,-368.1640625,-120.60546875,-174.31640625,47.36328125
24,-216.796875,-336.42578125,-105.95703125,-148.4375,-776.3671875
25,-263.671875,-375.48828125,-114.74609375,-120.1171875,-823.73046875
26,-227.05078125,-433.10546875,-83.49609375,-177.24609375,67.87109375
27,-260.25390625,-309.5703125,-149.4140625,-349.609375,197.75390625
28,-227.05078125,-313.4765625,-240.234375,-288.0859375,-179.6875
29,-302.734375,-330.078125,-252.44140625,-324.21875,-183.59375
30,-176.26953125,-298.828125,-248.046875,-316.89453125,-782.71484375
31,-301.26953125,-334.47265625,-296.38671875,-340.33203125,-473.6328125
32,-233.3984375,-406.25,-350.09765625,-185.05859375,-201.66015625
33,-229.98046875,-369.140625,-417.48046875,-186.5234375,140.13671875
34,-227.5390625,-369.62890625,-458.0078125,-234.86328125,259.765625
35,-128.90625,-338.37890625,-443.84765625,-151.85546875,-251.953125
36,-167.48046875,-356.4453125,-514.16015625,-168.45703125,-518.06640625
37,-250.9765625,-305.6640625,-489.74609375,-221.6796875,-664.0625
38,-246.09375,-339.35546875,-489.2578125,-278.3203125,-426.26953125
39,-201.66015625,-329.58984375,-452.1484375,-207.51953125,397.94921875
40,-218.26171875,-365.234375,-270.99609375,-214.84375,-382.32421875
41,-240.72265625,-375.48828125,-65.91796875,-237.79296875,244.140625
42,-232.91015625,-313.96484375,-5.859375,-159.66796875,-131.8359375
43,-307.12890625,-349.609375,-47.36328125,-278.3203125,-883.30078125
44,-292.48046875,-297.36328125,-75.1953125,-319.82421875,-879.39453125
45,-313.4765625,-322.265625,-169.921875,-380.859375,-1.46484375
46,-322.75390625,-304.6875,-174.8046875,-323.73046875,194.3359375
47,-297.36328125,-313.96484375,-284.1796875,-266.6015625,-678.22265625
48,-248.53515625,-349.12109375,-375.9765625,-197.265625,224.12109375
49,-184.5703125,-311.03515625,-345.21484375,-182.12890625,-378.41796875
50,-145.01953125,-356.93359375,-393.5546875,-211.9140625,-278.3203125
51,-140.625,-320.80078125,-353.02734375,-118.65234375,297.8515625
52,-169.43359375,-308.59375,-376.953125,-140.13671875,-577.63671875
53,-224.12109375,-268.5546875,-374.51171875,-202.63671875,-97.16796875
54,-350.5859375,-298.828125,-388.18359375,-341.796875,-469.23828125
55,-389.16015625,-347.16796875,-446.2890625,-372.0703125,83.49609375
56,-255.859375,-352.05078125,-392.578125,-236.81640625,-1104.4921875
57,-151.3671875,-363.76953125,-424.8046875,-210.44921875,-119.62890625
58,-127.44140625,-314.453125,-360.3515625,-187.98828125,399.90234375
59,-161.1328125,-335.44921875,-416.015625,-182.12890625,-862.3046875
60,-168.45703125,-330.56640625,-377.44140625,-182.6171875,186.5234375
61,-235.3515625,-349.609375,-379.39453125,-178.22265625,-221.6796875
62,-189.453125,-310.546875,-386.23046875,-192.3828125,-577.63671875
63,-147.94921875,-289.0625,-366.2109375,-142.08984375,-80.078125
64,-181.640625,-299.31640625,-393.06640625,-243.1640625,-319.82421875
65,-96.6796875,-280.2734375,-336.9140625,-118.1640625,120.60546875
66,-173.828125,-296.38671875,-333.49609375,-211.42578125,-869.62890625
67,-262.20703125,-330.078125,-366.69921875,-339.84375,-588.37890625
68,-399.4140625,-369.140625,-335.9375,-431.15234375,102.5390625
69,-500.9765625,-322.265625,-408.203125,-497.0703125,-1074.21875
70,-358.3984375,-250.9765625,-352.5390625,-390.13671875,327.1484375
71,-294.921875,-338.37890625,-319.82421875,-273.4375,-251.953125
72,-162.109375,-330.078125,-315.4296875,-201.66015625,-522.4609375
73,-71.2890625,-291.50390625,-295.41015625,-132.32421875,32.71484375
74,-102.5390625,-309.5703125,-250.0,-101.07421875,-520.5078125
75,-125.0,-343.26171875,-262.20703125,-176.7578125,-134.765625
76,-156.73828125,-361.81640625,-345.703125,-207.03125,-317.87109375
77,-170.8984375,-304.6875,-393.5546875,-200.1953125,544.921875
78,-158.69140625,-337.890625,-404.296875,-225.09765625,-80.56640625
79,-221.6796875,-334.47265625,-332.51953125,-260.25390625,-1013.671875
80,-237.79296875,-254.8828125,-352.05078125,-294.921875,-176.26953125
81,-236.328125,-255.37109375,-442.3828125,-371.58203125,-212.890625
82,-260.7421875,-312.5,-378.41796875,-264.16015625,-153.80859375
83,-192.87109375,-313.96484375,-402.34375,-209.47265625,-225.09765625
84,-215.33203125,-320.80078125,-390.625,-207.03125,-700.1953125
85,-256.8359375,-312.5,-328.125,-278.80859375,238.28125
86,-285.15625,-328.61328125,-357.421875,-316.89453125,-625.0
87,-265.13671875,-308.10546875,-370.1171875,-264.16015625,-47.8515625
88,-312.5,-323.2421875,-357.421875,-385.25390625,-545.41015625
89,-437.98828125,-293.9453125,-311.03515625,-396.484375,266.6015625
90,-385.25390625,-344.23828125,-258.7890625,-336.42578125,-127.9296875
91,-312.01171875,-337.890625,-276.85546875,-269.53125,-175.78125
92,-333.984375,-399.4140625,-301.26953125,-346.6796875,-867.67578125
93,-264.16015625,-357.421875,-272.4609375,-279.296875,244.62890625
94,-272.4609375,-325.1953125,-284.1796875,-296.38671875,-255.37109375
95,-229.98046875,-293.9453125,-258.7890625,-226.07421875,-280.76171875
96,-193.84765625,-311.03515625,-265.625,-206.0546875,497.55859375
97,-210.44921875,-267.08984375,-214.84375,-231.4453125,-345.21484375
98,-342.28515625,-352.5390625,-270.01953125,-340.33203125,-1117.67578125
99,-444.82421875,-296.38671875,-375.9765625,-454.58984375,77.63671875
100,-437.98828125,-218.75,-327.1484375,-484.86328125,202.63671875
101,-417.96875,-270.99609375,-314.94140625,-465.33203125,398.92578125
102,-472.65625,-320.3125,-359.86328125,-520.99609375,-648.92578125
103,-330.56640625,-292.48046875,-453.61328125,-371.09375,-469.7265625
104,-313.96484375,-333.0078125,-393.06640625,-401.85546875,-853.02734375
105,-367.67578125,-352.5390625,-375.48828125,-350.5859375,-300.78125
106,-358.3984375,-307.12890625,-383.7890625,-296.38671875,244.62890625
107,-288.0859375,-320.3125,-378.41796875,-364.74609375,180.6640625
108,-293.9453125,-369.140625,-416.50390625,-281.73828125,-106.4453125
109,-289.0625,-349.609375,-405.2734375,-348.6328125,-902.34375
110,-215.8203125,-339.35546875,-429.19921875,-229.00390625,-3.41796875
111,-125.0,-293.45703125,-391.11328125,-191.40625,-724.12109375
112,-271.97265625,-310.05859375,-421.38671875,-292.96875,-640.625
113,-325.1953125,-300.78125,-465.8203125,-316.89453125,650.390625
114,-374.51171875,-302.734375,-456.0546875,-377.44140625,-301.26953125
115,-346.6796875,-274.90234375,-513.18359375,-436.5234375,-218.75
116,-398.92578125,-294.921875,-541.015625,-419.43359375,-462.890625
117,-302.734375,-258.30078125,-451.171875,-350.5859375,-144.53125
118,-250.0,-272.94921875,-446.2890625,-220.703125,359.86328125
119,-273.92578125,-318.359375,-448.2421875,-74.21875,-449.70703125
120,-228.02734375,-363.28125,-496.09375,-147.4609375,156.25
121,-267.578125,-309.5703125,-455.56640625,-271.484375,-853.515625
122,-254.8828125,-303.22265625,-477.5390625,-316.40625,-305.6640625
123,-338.8671875,-373.046875,-551.7578125,-437.01171875,-187.5
124,-345.703125,-313.4765625,-445.3125,-372.0703125,-340.8203125
125,-347.16796875,-350.09765625,-401.3671875,-402.34375,195.3125
126,-289.55078125,-338.37890625,-372.55859375,-260.7421875,-523.4375
127,-265.13671875,-338.37890625,-405.2734375,-319.82421875,-73.73046875
128,-219.23828125,-306.640625,-404.78515625,-210.44921875,-1166.9921875
129,-266.11328125,-299.31640625,-474.12109375,-233.88671875,63.4765625
130,-274.4140625,-336.42578125,-501.46484375,-258.7890625,341.796875
131,-272.4609375,-311.5234375,-566.40625,-341.796875,-476.5625
132,-306.15234375,-302.734375,-599.609375,-323.2421875,-159.66796875
133,-241.69921875,-270.5078125,-498.53515625,-265.13671875,-437.01171875
134,-283.69140625,-364.74609375,-492.1875,-212.890625,-695.80078125
135,-312.01171875,-341.30859375,-523.4375,-229.00390625,322.75390625
136,-316.89453125,-342.7734375,-517.08984375,-383.30078125,-579.58984375
137,-323.73046875,-288.0859375,-430.17578125,-293.9453125,644.04296875
138,-256.34765625,-325.1953125,-445.3125,-330.56640625,-677.24609375
139,-200.1953125,-304.19921875,-418.9453125,-166.50390625,193.359375
140,-136.71875,-333.984375,-418.45703125,-188.4765625,-675.78125
141,-339.35546875,-361.328125,-440.91796875,-256.34765625,44.921875
142,-308.59375,-358.3984375,-416.9921875,-318.84765625,84.47265625
143,-296.875,-323.73046875,-504.8828125,-333.984375,-228.02734375
144,-288.57421875,-297.8515625,-465.8203125,-329.1015625,95.21484375
145,-310.546875,-342.28515625,-454.58984375,-323.2421875,-213.37890625
146,-270.99609375,-416.015625,-464.84375,-287.109375,-1308.10546875
147,-210.9375,-308.59375,-453.125,-189.453125,-482.91015625
148,-268.5546875,-353.515625,-432.6171875,-260.7421875,-655.76171875
149,-306.15234375,-384.27734375,-439.94140625,-306.640625,231.93359375
150,-200.1953125,-370.60546875,-437.5,-247.55859375,-221.19140625
151,-274.90234375,-411.1328125,-406.73828125,-374.51171875,-38.0859375
152,-355.95703125,-384.765625,-418.9453125,-426.7578125,-373.046875
153,-285.64453125,-364.74609375,-341.30859375,-381.34765625,-358.3984375
154,-229.00390625,-314.453125,-276.3671875,-319.3359375,388.671875
155,-301.26953125,-367.67578125,-317.3828125,-285.15625,-409.66796875
156,-247.0703125,-365.72265625,-257.32421875,-260.7421875,218.75
