id,ch1,ch2,ch3,ch4,ch5
0,-261.23046875,-170.8984375,-664.55078125,-624.0234375,53.7109375
1,-293.9453125,-371.09375,-209.47265625,-1127.9296875,-530.76171875
2,-377.44140625,-390.625,-0.9765625,-1184.08203125,866.2109375
3,-581.54296875,-557.6171875,-226.5625,-1333.49609375,925.78125
4,-406.25,-524.4140625,-161.62109375,-1400.87890625,442.3828125
5,-308.59375,-652.34375,-251.953125,-1291.9921875,459.9609375
6,-199.70703125,-493.1640625,-51.26953125,-1098.6328125,555.6640625
7,-289.55078125,-471.19140625,-208.49609375,-903.3203125,195.80078125
8,-448.2421875,-541.9921875,-134.27734375,-1152.83203125,-185.546875
9,-449.70703125,-610.83984375,-158.69140625,-1095.703125,31.73828125
10,-324.21875,-724.12109375,-285.64453125,-973.6328125,1406.25
11,-446.77734375,-749.51171875,-261.23046875,-1237.79296875,-328.61328125
12,-506.34765625,-752.44140625,-300.29296875,-1285.64453125,595.21484375
13,-514.6484375,-616.2109375,-202.1484375,-1426.7578125,-345.703125
14,-697.265625,-591.796875,-161.1328125,-1463.8671875,-33.203125
15,-526.85546875,-684.08203125,-249.0234375,-1370.1171875,620.60546875
16,-392.08984375,-801.7578125,-259.765625,-1258.7890625,58.59375
17,-582.03125,-659.1796875,-316.40625,-1364.74609375,521.484375
18,-497.0703125,-543.45703125,-264.6484375,-1264.6484375,-167.96875
19,-555.17578125,-550.29296875,-207.03125,-1195.3125,128.41796875
20,-552.734375,-561.5234375,-299.8046875,-1149.90234375,524.4140625
21,-678.7109375,-526.85546875,-206.0546875,-1292.48046875,13.671875
22,-666.015625,-517.578125,-348.6328125,-1315.91796875,589.35546875
23,-623.046875,-498.046875,-924.31640625,-1373.53515625,-586.9140625
24,-400.87890625,-431.15234375,-4333.984375,-1247.55859375,483.3984375
25,-365.72265625,-483.3984375,-6662.59765625,-1208.984375,604.98046875
26,-298.33984375,-459.9609375,-7835.44921875,-1015.13671875,-51.7578125
27,-161.1328125,-410.15625,-7450.1953125,-973.6328125,45.41015625
28,-268.5546875,-468.75,-6574.21875,-1102.5390625,153.3203125
29,-334.9609375,-467.28515625,-5626.46484375,-1042.48046875,1168.45703125
30,-450.1953125,-469.7265625,-4927.734375,-1083.984375,-261.71875
31,-439.453125,-500.48828125,-4379.39453125,-1237.3046875,541.015625
32,-752.44140625,-563.4765625,-3796.38671875,-1456.54296875,322.265625
33,-693.359375,-686.03515625,-3271.97265625,-1318.84765625,828.125
34,-742.67578125,-682.6171875,-3065.4296875,-1364.2578125,575.68359375
35,-695.3125,-752.9296875,-3008.7890625,-1429.6875,-343.75
36,-492.67578125,-726.5625,-2924.8046875,-1334.9609375,-521.484375
37,-327.1484375,-667.96875,-2881.8359375,-1245.60546875,141.11328125
38,-68.359375,-663.0859375,-3076.66015625,-1022.94921875,-341.796875
39,-63.4765625,-639.6484375,-3141.11328125,-840.33203125,504.8828125
40,-237.79296875,-713.37890625,-3310.546875,-1028.3203125,-146.484375
41,-354.4921875,-597.16796875,-3357.421875,-1088.37890625,829.1015625
42,-435.05859375,-491.69921875,-3082.51953125,-1277.34375,282.71484375
43,-675.29296875,-732.91015625,-2634.765625,-1464.84375,195.3125
44,-672.36328125,-719.23828125,-2234.86328125,-1362.79296875,58.10546875
45,-509.27734375,-686.5234375,-1686.03515625,-1136.23046875,619.62890625
46,-518.5546875,-766.11328125,-598.14453125,-1130.859375,779.296875
47,-487.79296875,-649.4140625,4.8828125,-1087.890625,553.7109375
48,-495.1171875,-736.81640625,-362.79296875,-1125.48828125,777.34375
49,-723.14453125,-630.37109375,-476.5625,-1387.6953125,-792.96875
50,-649.90234375,-583.984375,-1244.62890625,-1402.34375,146.484375
51,-601.5625,-577.63671875,-3556.640625,-1297.8515625,360.83984375
52,-479.00390625,-593.75,-4479.4921875,-1157.2265625,199.21875
53,-508.7890625,-512.20703125,-4569.3359375,-1178.22265625,635.7421875
54,-508.7890625,-514.6484375,-4575.1953125,-1186.5234375,246.09375
55,-374.0234375,-415.0390625,-4632.8125,-1174.31640625,509.27734375
56,-230.95703125,-206.0546875,-4459.47265625,-1209.9609375,-522.4609375
57,-150.87890625,-306.15234375,-4294.43359375,-1201.171875,247.55859375
58,-231.4453125,-464.84375,-4480.46875,-1144.04296875,489.74609375
59,-383.30078125,-598.14453125,-4697.265625,-1191.40625,147.4609375
60,-453.125,-610.83984375,-4624.51171875,-1161.1328125,420.8984375
61,-612.79296875,-687.98828125,-4051.26953125,-1145.99609375,26.3671875
62,-758.30078125,-763.18359375,-3789.0625,-1261.23046875,-643.5546875
63,-747.55859375,-842.28515625,-4072.265625,-1230.95703125,643.5546875
64,-583.984375,-791.9921875,-4309.5703125,-1213.8671875,-362.79296875
65,-550.29296875,-850.5859375,-4299.31640625,-1200.68359375,1383.7890625
66,-539.0625,-739.74609375,-3916.50390625,-1142.578125,169.43359375
67,-558.59375,-696.2890625,-3621.58203125,-1063.96484375,-94.7265625
68,-308.59375,-670.41015625,-3269.53125,-840.8203125,995.1171875
69,-307.6171875,-750.0,-2916.9921875,-833.0078125,-56.640625
70,-425.78125,-646.97265625,-2581.54296875,-873.53515625,827.1484375
71,-270.5078125,-664.0625,-2402.83203125,-817.87109375,-297.36328125
72,-385.7421875,-618.1640625,-2163.57421875,-892.08984375,-10.7421875
73,-427.734375,-623.53515625,-2122.0703125,-973.6328125,578.61328125
74,-446.77734375,-790.0390625,-2103.515625,-1079.1015625,84.9609375
75,-352.5390625,-818.359375,-2150.390625,-1144.53125,112.79296875
76,-578.61328125,-808.10546875,-2916.015625,-1254.39453125,-218.75
77,-630.37109375,-717.28515625,-3568.359375,-1282.71484375,78.125
78,-541.50390625,-916.015625,-3724.609375,-885.7421875,635.25390625
79,510.25390625,-1039.0625,-3265.13671875,259.765625,20.01953125
80,396.97265625,-885.25390625,-2802.734375,260.25390625,-293.9453125
81,-384.27734375,-836.9140625,-2561.03515625,-764.16015625,484.86328125
82,-1196.77734375,-628.41796875,-2478.02734375,-1711.42578125,174.8046875
83,-1244.140625,-451.171875,-2414.55078125,-1912.109375,467.7734375
84,-1105.46875,-487.79296875,-2207.51953125,-1756.34765625,-58.10546875
85,-956.54296875,-459.9609375,-1987.79296875,-1619.62890625,323.2421875
86,-760.7421875,-579.1015625,-1980.95703125,-1404.78515625,769.53125
87,-602.05078125,-557.6171875,-1829.58984375,-1153.80859375,586.42578125
88,-604.00390625,-562.5,-1684.5703125,-1040.52734375,-338.37890625
89,-400.390625,-665.52734375,-1475.09765625,-742.1875,273.92578125
90,-479.4921875,-610.3515625,-1256.34765625,-692.87109375,590.33203125
91,-491.2109375,-751.953125,-1063.96484375,-592.28515625,819.3359375
92,-521.484375,-753.41796875,-977.05078125,-675.78125,91.30859375
93,-455.078125,-799.31640625,-1208.984375,-720.703125,222.16796875
94,-243.1640625,-765.13671875,-1105.46875,-662.109375,535.64453125
95,-577.63671875,-688.96484375,-800.29296875,-947.265625,59.5703125
96,-757.32421875,-812.5,-898.92578125,-1087.40234375,205.078125
97,-833.49609375,-598.14453125,-616.2109375,-1240.234375,-117.1875
98,-773.92578125,-645.5078125,-736.81640625,-1210.9375,-189.94140625
99,-697.265625,-685.546875,-830.078125,-1177.734375,1003.90625
100,-554.19921875,-796.875,-697.265625,-1071.77734375,-266.6015625
101,-473.6328125,-777.83203125,-540.0390625,-982.421875,479.4921875
102,-475.09765625,-645.99609375,-305.17578125,-1021.97265625,388.671875
103,-535.15625,-672.36328125,-537.109375,-1036.1328125,701.66015625
104,-558.10546875,-595.21484375,-534.1796875,-1030.2734375,-606.4453125
105,-683.59375,-619.62890625,-629.39453125,-1169.43359375,157.2265625
106,-702.1484375,-743.65234375,-843.75,-1200.68359375,600.5859375
107,-767.578125,-708.0078125,-852.5390625,-1256.34765625,-229.98046875
108,-731.4453125,-703.61328125,-902.83203125,-1164.55078125,362.3046875
109,-619.140625,-829.58984375,-744.62890625,-1032.2265625,645.5078125
110,-498.046875,-783.69140625,-587.890625,-969.7265625,-912.59765625
111,-387.20703125,-833.0078125,-665.0390625,-803.22265625,554.6875
112,-406.25,-793.45703125,-652.34375,-863.76953125,321.77734375
113,-415.0390625,-764.6484375,-915.0390625,-844.7265625,791.9921875
114,-335.44921875,-769.04296875,-796.875,-894.04296875,-466.796875
115,-381.8359375,-687.98828125,-686.5234375,-958.984375,-315.4296875
116,-564.94140625,-702.63671875,-588.37890625,-1035.64453125,194.82421875
117,-427.734375,-727.05078125,-563.96484375,-978.515625,125.48828125
118,-428.22265625,-769.53125,-444.3359375,-816.89453125,882.32421875
119,-423.828125,-681.640625,-148.92578125,-902.34375,434.5703125
120,-413.57421875,-618.65234375,-223.14453125,-969.23828125,119.62890625
121,-456.0546875,-631.8359375,-413.0859375,-1008.30078125,-265.13671875
122,-377.44140625,-683.59375,-489.2578125,-1102.5390625,-57.12890625
123,-321.2890625,-597.65625,-536.1328125,-1077.1484375,408.203125
124,-401.3671875,-599.609375,-673.33984375,-1116.69921875,-158.69140625
125,-638.671875,-619.140625,-708.984375,-1290.52734375,1144.53125
126,-971.19140625,-548.828125,-749.51171875,-1616.2109375,371.09375
127,-350.09765625,-675.29296875,-549.31640625,-1267.578125,291.50390625
128,705.078125,-1040.52734375,-611.328125,-359.86328125,580.078125
129,1417.96875,-753.41796875,-1980.95703125,21.484375,37.109375
130,702.1484375,-359.86328125,-2508.30078125,-705.078125,362.79296875
131,-759.27734375,-1396.484375,-4899.4140625,-2258.7890625,109.86328125
132,-956.0546875,5685.05859375,-3431.15234375,-2483.3984375,67.3828125
133,67.87109375,2962.40234375,-2584.9609375,-1011.71875,177.734375
134,229.00390625,1044.921875,-3139.16015625,-608.3984375,-3.90625
135,-109.375,2010.7421875,-2918.9453125,-741.2109375,285.64453125
136,-1313.96484375,8213.8671875,-2664.55078125,-1706.0546875,-235.3515625
137,-1056.640625,7874.51171875,-2578.61328125,-1330.078125,702.1484375
138,-42.96875,14.16015625,-2300.29296875,-168.45703125,458.0078125
139,58.10546875,-2742.1875,-2187.98828125,20.99609375,313.4765625
140,-471.6796875,-3160.64453125,-1656.73828125,-607.421875,243.65234375
141,-1105.95703125,-1445.80078125,-1225.5859375,-1346.6796875,388.671875
142,-540.0390625,-1950.1953125,-720.21484375,-790.52734375,545.41015625
143,92.7734375,-2234.86328125,-281.25,-39.55078125,-684.5703125
144,359.86328125,-2393.5546875,-116.69921875,390.625,158.203125
145,109.86328125,-1979.98046875,239.2578125,347.16796875,109.86328125
146,-123.53515625,-1432.6171875,-60.546875,404.78515625,101.5625
147,-313.4765625,-990.234375,-216.30859375,307.12890625,395.5078125
148,-310.05859375,-1063.4765625,-272.4609375,325.68359375,-16.6015625
149,-371.09375,-1003.90625,-505.859375,333.49609375,923.828125
150,-308.10546875,-1186.5234375,-418.9453125,119.62890625,135.25390625
151,-375.48828125,-1531.73828125,-571.77734375,-127.9296875,-53.22265625
152,-289.55078125,-1354.4921875,-286.62109375,-292.48046875,296.38671875
153,-340.33203125,-1218.75,-161.1328125,-357.91015625,-56.15234375
154,-409.1796875,-1306.15234375,-355.46875,-396.484375,1046.38671875
155,-377.44140625,-1088.37890625,-406.73828125,-482.421875,222.16796875
156,-448.73046875,-1133.7890625,-681.640625,-484.375,360.3515625
157,-557.12890625,-1120.60546875,-688.96484375,-785.64453125,-404.296875
158,-550.29296875,-1048.33984375,-467.28515625,-625.9765625,353.02734375
159,-596.19140625,-878.41796875,-57.12890625,-459.47265625,493.1640625
160,-501.46484375,-500.0,-33.203125,-484.375,-114.74609375
161,-434.08203125,-525.390625,-174.8046875,-326.66015625,1172.36328125
162,-447.75390625,-217.28515625,-150.87890625,-343.75,364.2578125
163,-557.6171875,-471.19140625,-348.14453125,-440.4296875,28.3203125
164,-690.4296875,-742.67578125,-135.25390625,-656.25,693.84765625
165,-785.64453125,-853.02734375,24.4140625,-769.53125,119.140625
166,-690.91796875,-1137.6953125,138.18359375,-880.37109375,708.0078125
167,-663.0859375,-638.18359375,1915.0390625,-720.703125,233.88671875
168,-605.95703125,-747.55859375,2027.83203125,-744.62890625,-17.08984375
169,-656.73828125,-1584.47265625,783.203125,-737.3046875,-300.29296875
170,-559.5703125,-1739.2578125,-106.93359375,-702.1484375,-913.0859375
171,-539.55078125,-1484.86328125,-500.9765625,-473.14453125,104.00390625
172,-481.93359375,-1093.75,-427.24609375,-415.0390625,-625.48828125
173,-425.29296875,-157.71484375,-349.609375,-381.8359375,1261.71875
174,-433.10546875,-501.953125,-545.41015625,-422.36328125,-454.1015625
175,-593.75,-842.7734375,-608.3984375,-708.49609375,-228.515625
176,-888.671875,-1183.59375,-634.765625,-518.5546875,300.29296875
177,-1072.265625,-1789.55078125,-797.36328125,-808.59375,6.8359375
178,-1149.90234375,-1565.91796875,-874.0234375,-973.14453125,225.5859375
179,-1617.1875,-1016.11328125,-636.23046875,-1419.43359375,62.01171875
180,-2054.19921875,-388.18359375,-541.015625,-1959.47265625,72.265625
181,-973.14453125,-741.2109375,-272.94921875,-785.15625,428.7109375
182,-75.1953125,-666.015625,-152.34375,-9.765625,60.05859375
183,11.71875,-418.9453125,-166.50390625,175.78125,1193.84765625
184,210.44921875,-664.55078125,-131.34765625,216.796875,1059.08203125
185,-27.34375,-880.37109375,-218.26171875,92.28515625,560.546875
186,-275.87890625,-905.2734375,-267.08984375,-149.90234375,206.0546875
187,-241.69921875,-959.47265625,-156.73828125,-199.70703125,113.28125
188,-324.21875,-797.8515625,-54.19921875,-332.51953125,678.22265625
189,-446.2890625,-744.140625,-128.41796875,-509.765625,500.9765625
190,-523.92578125,-691.40625,-46.38671875,-597.65625,1007.8125
191,-624.51171875,-378.41796875,116.2109375,-630.859375,-20.99609375
192,-549.31640625,-290.52734375,113.76953125,-531.73828125,231.93359375
193,-530.2734375,-168.45703125,247.55859375,-614.2578125,-494.62890625
194,-412.109375,-429.19921875,32.2265625,-597.65625,-6.34765625
195,-468.26171875,-476.5625,3.90625,-552.734375,455.56640625
196,-514.16015625,-557.6171875,-22.4609375,-606.93359375,502.9296875
197,-490.234375,-708.984375,-205.078125,-550.29296875,367.1875
198,-529.296875,-633.30078125,-45.41015625,-543.9453125,15.13671875
199,-541.015625,-688.96484375,-239.2578125,-541.015625,-201.66015625
200,-630.859375,-503.41796875,-31.25,-558.59375,575.1953125
201,-796.875,-405.2734375,-111.81640625,-738.76953125,-286.1328125
202,-706.0546875,-753.90625,-294.921875,-689.453125,435.546875
203,-738.76953125,-653.3203125,-785.64453125,-632.8125,526.3671875
204,-716.796875,-527.83203125,-2383.7890625,-573.2421875,871.58203125
205,-727.5390625,-450.68359375,-2265.625,-718.75,-30.76171875
206,-656.73828125,-198.2421875,-2093.75,-706.54296875,107.91015625
207,-638.671875,-39.0625,-2510.25390625,-729.00390625,629.39453125
208,-599.12109375,-122.55859375,-2249.0234375,-630.859375,138.18359375
209,-627.44140625,-221.6796875,-2145.01953125,-586.9140625,1481.93359375
210,-616.69921875,-111.81640625,-1725.5859375,-648.92578125,-937.98828125
211,-530.2734375,20.5078125,-1555.17578125,-582.51953125,-744.62890625
212,-522.94921875,223.6328125,-1353.515625,-526.85546875,1079.1015625
213,-546.875,67.3828125,-1233.88671875,-507.32421875,123.53515625
214,-439.94140625,-214.35546875,-1183.10546875,-495.60546875,1003.90625
215,-595.703125,-303.7109375,-1113.28125,-555.6640625,41.9921875
216,-542.48046875,-250.48828125,-943.359375,-616.69921875,314.94140625
217,-556.640625,-506.34765625,-886.71875,-532.2265625,547.36328125
218,-503.41796875,-396.97265625,-813.96484375,-556.640625,-54.19921875
219,-533.203125,-601.07421875,-781.25,-520.01953125,250.48828125
220,-521.484375,-865.72265625,-988.28125,-496.58203125,-360.83984375
221,-524.4140625,-1023.92578125,-949.21875,-403.80859375,1186.03515625
222,-559.08203125,-1145.99609375,-863.76953125,-474.12109375,75.1953125
223,-503.90625,-912.109375,-766.6015625,-527.83203125,-859.86328125
224,-620.60546875,-813.4765625,-692.87109375,-678.22265625,905.76171875
225,-604.4921875,-740.72265625,-544.43359375,-491.69921875,115.72265625
226,-568.84765625,-757.32421875,-430.6640625,-385.7421875,454.1015625
227,-508.30078125,-513.18359375,-351.5625,-485.3515625,-22.94921875
228,-476.5625,-326.66015625,-351.07421875,-312.5,449.21875
229,-525.87890625,-114.74609375,-337.890625,-216.796875,-352.5390625
230,-627.9296875,-560.546875,-384.27734375,-44.43359375,221.19140625
