id,ch1,ch2,ch3,ch4,ch5
0,-16.11328125,-274.90234375,-166.015625,-70.3125,-14.6484375
1,-164.0625,-244.62890625,-374.51171875,-286.62109375,-77.1484375
2,-218.26171875,-263.18359375,-394.04296875,-261.71875,-257.32421875
3,-204.58984375,-316.89453125,-394.53125,-308.10546875,246.09375
4,-302.734375,-298.828125,-409.1796875,-415.0390625,141.6015625
5,-220.21484375,-307.6171875,-417.96875,-400.87890625,-66.89453125
6,-276.3671875,-260.25390625,-414.0625,-406.73828125,-234.375
7,-259.765625,-283.203125,-407.71484375,-405.76171875,-562.5
8,-261.71875,-316.40625,-351.07421875,-348.14453125,-636.23046875
9,-249.0234375,-392.578125,-370.1171875,-308.59375,-625.48828125
10,-242.1875,-283.69140625,-317.87109375,-304.6875,402.83203125
11,-192.3828125,-328.125,-350.09765625,-289.0625,462.890625
12,-156.25,-272.4609375,-370.1171875,-233.88671875,-242.67578125
13,-175.29296875,-265.13671875,-385.25390625,-326.171875,-272.4609375
14,-188.4765625,-234.375,-362.79296875,-262.20703125,-159.1796875
15,-185.546875,-235.3515625,-353.515625,-237.3046875,86.9140625
16,-151.3671875,-273.4375,-381.34765625,-276.85546875,73.73046875
17,-59.08203125,-304.19921875,-287.59765625,-109.375,161.1328125
18,-114.74609375,-332.51953125,-293.45703125,-89.35546875,68.359375
19,-128.41796875,-323.2421875,-370.1171875,-138.18359375,-649.90234375
20,-161.62109375,-324.21875,-401.85546875,-144.53125,259.765625
21,-198.2421875,-280.2734375,-490.72265625,-248.046875,-264.6484375
22,-256.8359375,-329.58984375,-478.02734375,-390.625,-138.18359375
23,-258.30078125,-343.26171875,-405.76171875,-289.55078125,296.38671875
24,-291.9921875,-353.515625,-374.0234375,-364.2578125,-590.33203125
25,-325.1953125,-402.83203125,-405.76171875,-376.953125,599.609375
26,-284.66796875,-384.765625,-370.1171875,-294.43359375,-1100.09765625
27,-220.703125,-345.703125,-309.08203125,-240.72265625,51.7578125
28,-135.25390625,-266.11328125,-309.5703125,-124.0234375,-73.73046875
29,-147.94921875,-250.48828125,-389.6484375,-166.015625,-303.22265625
30,-196.2890625,-369.140625,-350.5859375,-252.44140625,-361.328125
31,-176.7578125,-333.49609375,-303.7109375,-236.81640625,-316.40625
32,-72.75390625,-269.04296875,-309.5703125,-138.671875,-203.61328125
33,-119.62890625,-331.54296875,-293.45703125,-266.11328125,-178.22265625
34,-187.98828125,-304.6875,-301.26953125,-219.7265625,-297.8515625
35,-196.77734375,-357.91015625,-333.49609375,-270.01953125,-218.26171875
36,-182.12890625,-345.703125,-355.95703125,-379.39453125,250.0
37,-241.69921875,-338.37890625,-408.203125,-464.35546875,-235.3515625
38,-215.8203125,-248.53515625,-423.33984375,-415.52734375,-943.84765625
39,-271.97265625,-256.8359375,-379.8828125,-405.76171875,289.55078125
40,-178.22265625,-315.91796875,-342.7734375,-256.34765625,156.25
41,-121.58203125,-364.2578125,-361.328125,-290.0390625,-412.109375
42,-38.0859375,-345.703125,-306.640625,-229.4921875,678.22265625
43,-77.63671875,-291.015625,-330.078125,-196.2890625,54.6875
44,-145.5078125,-356.93359375,-360.3515625,-216.796875,-1291.9921875
45,-237.79296875,-305.17578125,-391.6015625,-250.0,-46.875
46,-304.6875,-262.20703125,-401.85546875,-290.52734375,-36.1328125
47,-269.04296875,-344.23828125,-407.71484375,-312.01171875,-286.1328125
48,-309.5703125,-337.40234375,-359.375,-336.9140625,-777.34375
49,-338.8671875,-317.87109375,-340.33203125,-388.671875,39.0625
