id,lsl_ts,unix_ts,ambient,ir,red
54684,9845.45955825,1671625074.644,541,114111,72350
54684,9845.45955825,1671625074.644,541,114111,72350
54685,9845.4696836,1671625074.644,532,127780,74279
54685,9845.4696836,1671625074.644,532,127780,74279
54686,9845.47980895,1671625074.644,530,127820,74285
54686,9845.47980895,1671625074.644,530,127820,74285
54687,9845.4899343,1671625074.644,530,127890,74274
54687,9845.4899343,1671625074.644,530,127890,74274
54688,9845.50005965,1671625074.644,530,127837,74256
54688,9845.50005965,1671625074.644,530,127837,74256
54689,9845.510185,1671625074.644,529,127724,74213
54689,9845.510185,1671625074.644,529,127724,74213
54690,9845.526043333333,1671625074.739,529,127763,74232
54690,9845.526043333333,1671625074.739,529,127763,74232
54691,9845.541901666666,1671625074.739,528,127680,74222
54691,9845.541901666666,1671625074.739,528,127680,74222
54692,9845.55776,1671625074.739,531,127592,74191
54692,9845.55776,1671625074.739,531,127592,74191
54693,9845.573618333334,1671625074.739,530,127569,74193
54693,9845.573618333334,1671625074.739,530,127569,74193
54694,9845.589476666666,1671625074.739,528,127598,74168
54694,9845.589476666666,1671625074.739,528,127598,74168
54695,9845.605335,1671625074.739,530,127534,74146
54695,9845.605335,1671625074.739,530,127534,74146
54696,9845.611737983334,1671625074.777,529,127595,74145
54696,9845.611737983334,1671625074.777,529,127595,74145
54697,9845.618140966666,1671625074.777,528,127564,74128
54697,9845.618140966666,1671625074.777,528,127564,74128
54698,9845.62454395,1671625074.777,527,127562,74139
54698,9845.62454395,1671625074.777,527,127562,74139
54699,9845.630946933334,1671625074.777,529,127492,74158
54699,9845.630946933334,1671625074.777,529,127492,74158
54700,9845.637349916666,1671625074.777,529,127569,74132
54700,9845.637349916666,1671625074.777,529,127569,74132
54701,9845.6437529,1671625074.777,530,127550,74118
54701,9845.6437529,1671625074.777,530,127550,74118
54702,9845.6585648,1671625074.866,529,127575,74147
54702,9845.6585648,1671625074.866,529,127575,74147
54703,9845.6733767,1671625074.866,527,127559,74146
54703,9845.6733767,1671625074.866,527,127559,74146
54704,9845.688188600001,1671625074.866,527,127574,74150
54704,9845.688188600001,1671625074.866,527,127574,74150
54705,9845.7030005,1671625074.866,525,127585,74157
54705,9845.7030005,1671625074.866,525,127585,74157
54706,9845.7178124,1671625074.866,527,127576,74168
54706,9845.7178124,1671625074.866,527,127576,74168
54707,9845.7326243,1671625074.866,528,127563,74159
54707,9845.7326243,1671625074.866,528,127563,74159
54708,9845.753222966667,1671625074.99,528,127656,74173
54708,9845.753222966667,1671625074.99,528,127656,74173
54709,9845.773821633335,1671625074.99,528,127654,74182
54709,9845.773821633335,1671625074.99,528,127654,74182
54710,9845.7944203,1671625074.99,528,127733,74182
54710,9845.7944203,1671625074.99,528,127733,74182
54711,9845.815018966667,1671625074.99,528,127628,74175
54711,9845.815018966667,1671625074.99,528,127628,74175
54712,9845.835617633335,1671625074.99,528,127662,74130
54712,9845.835617633335,1671625074.99,528,127662,74130
54713,9845.8562163,1671625074.99,526,127735,74152
54713,9845.8562163,1671625074.99,526,127735,74152
54714,9845.8660326,1671625075.049,528,127607,74177
54714,9845.8660326,1671625075.049,528,127607,74177
54715,9845.875848900001,1671625075.049,529,127700,74150
54715,9845.875848900001,1671625075.049,529,127700,74150
54716,9845.8856652,1671625075.049,529,127666,74157
54716,9845.8856652,1671625075.049,529,127666,74157
54717,9845.8954815,1671625075.049,529,127713,74157
54717,9845.8954815,1671625075.049,529,127713,74157
54718,9845.9052978,1671625075.049,528,127665,74113
54718,9845.9052978,1671625075.049,528,127665,74113
54719,9845.9151141,1671625075.049,529,127682,74147
54719,9845.9151141,1671625075.049,529,127682,74147
54720,9845.93039765,1671625075.141,529,127649,74133
54720,9845.93039765,1671625075.141,529,127649,74133
54721,9845.9456812,1671625075.141,527,127620,74141
54721,9845.9456812,1671625075.141,527,127620,74141
54722,9845.96096475,1671625075.141,528,127645,74130
54722,9845.96096475,1671625075.141,528,127645,74130
54723,9845.9762483,1671625075.141,529,127695,74139
54723,9845.9762483,1671625075.141,529,127695,74139
54724,9845.99153185,1671625075.141,530,127594,74120
54724,9845.99153185,1671625075.141,530,127594,74120
54725,9846.0068154,1671625075.141,529,127681,74109
54725,9846.0068154,1671625075.141,529,127681,74109
54726,9846.024991983333,1671625075.25,528,127611,74131
54726,9846.024991983333,1671625075.25,528,127611,74131
54727,9846.043168566666,1671625075.25,528,127614,74109
54727,9846.043168566666,1671625075.25,528,127614,74109
54728,9846.06134515,1671625075.25,528,127648,74125
54728,9846.06134515,1671625075.25,528,127648,74125
54729,9846.079521733334,1671625075.25,528,127679,74121
54729,9846.079521733334,1671625075.25,528,127679,74121
54730,9846.097698316667,1671625075.25,528,127640,74123
54730,9846.097698316667,1671625075.25,528,127640,74123
54731,9846.1158749,1671625075.25,529,127657,74122
54731,9846.1158749,1671625075.25,529,127657,74122
54732,9846.132388916667,1671625075.349,530,127669,74125
54732,9846.132388916667,1671625075.349,530,127669,74125
54733,9846.148902933333,1671625075.349,529,127666,74111
54733,9846.148902933333,1671625075.349,529,127666,74111
54734,9846.16541695,1671625075.349,528,127638,74109
54734,9846.16541695,1671625075.349,528,127638,74109
54735,9846.181930966668,1671625075.349,529,127630,74135
54735,9846.181930966668,1671625075.349,529,127630,74135
54736,9846.198444983334,1671625075.349,528,127598,74120
54736,9846.198444983334,1671625075.349,528,127598,74120
54737,9846.214959,1671625075.349,528,127733,74140
54737,9846.214959,1671625075.349,528,127733,74140
54738,9846.226570783334,1671625075.418,530,127724,74158
54738,9846.226570783334,1671625075.418,530,127724,74158
54739,9846.238182566667,1671625075.418,529,127643,74145
54739,9846.238182566667,1671625075.418,529,127643,74145
54740,9846.24979435,1671625075.418,530,127708,74133
54740,9846.24979435,1671625075.418,530,127708,74133
54741,9846.261406133333,1671625075.418,529,127657,74134
54741,9846.261406133333,1671625075.418,529,127657,74134
54742,9846.273017916667,1671625075.418,530,127602,74130
54742,9846.273017916667,1671625075.418,530,127602,74130
54743,9846.2846297,1671625075.418,528,127628,74135
54743,9846.2846297,1671625075.418,528,127628,74135
