id,lsl_ts,unix_ts,ch1,ch2,ch3,ch4,ch5
891348,14904.844880191666,1671630134.003,0,0,0,0,0
891348,14904.844880191666,1671630134.003,0,0,0,0,0
891349,14904.847067083332,1671630134.003,0,0,-0.48828125,0,-1.46484375
891349,14904.847067083332,1671630134.003,0,0,-0.48828125,0,-1.46484375
891350,14904.849253975,1671630134.003,-0.48828125,-0.9765625,0,-1.46484375,6.34765625
891350,14904.849253975,1671630134.003,-0.48828125,-0.9765625,0,-1.46484375,6.34765625
891351,14904.851440866667,1671630134.003,-0.48828125,1.953125,-3.41796875,1.953125,-21.484375
891351,14904.851440866667,1671630134.003,-0.48828125,1.953125,-3.41796875,1.953125,-21.484375
891352,14904.853627758333,1671630134.003,0.48828125,-11.23046875,8.30078125,-12.6953125,68.359375
891352,14904.853627758333,1671630134.003,0.48828125,-11.23046875,8.30078125,-12.6953125,68.359375
891353,14904.85581465,1671630134.003,-8.30078125,-29.78515625,-24.4140625,-37.59765625,62.5
891353,14904.85581465,1671630134.003,-8.30078125,-29.78515625,-24.4140625,-37.59765625,62.5
891354,14904.858001541666,1671630134.003,-21.97265625,-28.3203125,-64.453125,-38.57421875,-111.328125
891354,14904.858001541666,1671630134.003,-21.97265625,-28.3203125,-64.453125,-38.57421875,-111.328125
891355,14904.860188433333,1671630134.003,-12.6953125,-26.85546875,-50.29296875,-37.109375,-176.7578125
891355,14904.860188433333,1671630134.003,-12.6953125,-26.85546875,-50.29296875,-37.109375,-176.7578125
891356,14904.862375325,1671630134.003,-0.9765625,-25.390625,-46.38671875,-24.4140625,-83.49609375
891356,14904.862375325,1671630134.003,-0.9765625,-25.390625,-46.38671875,-24.4140625,-83.49609375
891357,14904.864562216668,1671630134.003,-12.20703125,-23.92578125,-39.55078125,-21.484375,-18.06640625
891357,14904.864562216668,1671630134.003,-12.20703125,-23.92578125,-39.55078125,-21.484375,-18.06640625
891358,14904.866749108334,1671630134.003,-17.08984375,-25.390625,-33.69140625,-31.25,-126.953125
891358,14904.866749108334,1671630134.003,-17.08984375,-25.390625,-33.69140625,-31.25,-126.953125
891359,14904.868936,1671630134.003,-11.71875,-25.390625,-32.2265625,-29.296875,-135.25390625
891359,14904.868936,1671630134.003,-11.71875,-25.390625,-32.2265625,-29.296875,-135.25390625
891360,14904.882184,1671630134.162,-15.13671875,-26.3671875,-30.76171875,-20.01953125,-51.7578125
891360,14904.882184,1671630134.162,-15.13671875,-26.3671875,-30.76171875,-20.01953125,-51.7578125
891361,14904.895432000001,1671630134.162,-14.6484375,-28.3203125,-32.71484375,-15.13671875,-31.73828125
891361,14904.895432000001,1671630134.162,-14.6484375,-28.3203125,-32.71484375,-15.13671875,-31.73828125
891362,14904.90868,1671630134.162,-18.5546875,-28.3203125,-38.0859375,-33.203125,-106.93359375
891362,14904.90868,1671630134.162,-18.5546875,-28.3203125,-38.0859375,-33.203125,-106.93359375
891363,14904.921928,1671630134.162,-23.92578125,-26.85546875,-33.69140625,-33.203125,-155.2734375
891363,14904.921928,1671630134.162,-23.92578125,-26.85546875,-33.69140625,-33.203125,-155.2734375
891364,14904.935176,1671630134.162,-16.6015625,-24.4140625,-32.2265625,-22.4609375,-98.14453125
891364,14904.935176,1671630134.162,-16.6015625,-24.4140625,-32.2265625,-22.4609375,-98.14453125
891365,14904.948424,1671630134.162,-20.5078125,-23.92578125,-36.1328125,-24.90234375,-38.0859375
891365,14904.948424,1671630134.162,-20.5078125,-23.92578125,-36.1328125,-24.90234375,-38.0859375
891366,14904.961672,1671630134.162,-28.80859375,-22.94921875,-35.15625,-30.76171875,-80.56640625
891366,14904.961672,1671630134.162,-28.80859375,-22.94921875,-35.15625,-30.76171875,-80.56640625
891367,14904.97492,1671630134.162,-13.671875,-23.92578125,-32.71484375,-21.97265625,-127.44140625
891367,14904.97492,1671630134.162,-13.671875,-23.92578125,-32.71484375,-21.97265625,-127.44140625
891368,14904.988168,1671630134.162,-6.34765625,-29.296875,-36.62109375,2.44140625,200.1953125
891368,14904.988168,1671630134.162,-6.34765625,-29.296875,-36.62109375,2.44140625,200.1953125
891369,14905.001416,1671630134.162,-20.01953125,-30.2734375,-39.55078125,-3.90625,333.0078125
891369,14905.001416,1671630134.162,-20.01953125,-30.2734375,-39.55078125,-3.90625,333.0078125
891370,14905.014664,1671630134.162,-21.97265625,-26.3671875,-34.1796875,-23.92578125,-21.484375
891370,14905.014664,1671630134.162,-21.97265625,-26.3671875,-34.1796875,-23.92578125,-21.484375
891371,14905.027912,1671630134.162,-9.765625,-22.94921875,-33.203125,-22.4609375,-33.203125
891371,14905.027912,1671630134.162,-9.765625,-22.94921875,-33.203125,-22.4609375,-33.203125
891372,14905.032258166666,1671630134.214,-11.23046875,-26.85546875,-39.0625,-15.625,-3.90625
891372,14905.032258166666,1671630134.214,-11.23046875,-26.85546875,-39.0625,-15.625,-3.90625
891373,14905.036604333332,1671630134.214,-15.13671875,-34.1796875,-37.59765625,-17.578125,-61.03515625
891373,14905.036604333332,1671630134.214,-15.13671875,-34.1796875,-37.59765625,-17.578125,-61.03515625
891374,14905.040950499999,1671630134.214,-17.578125,-32.2265625,-39.0625,-25.390625,-48.828125
891374,14905.040950499999,1671630134.214,-17.578125,-32.2265625,-39.0625,-25.390625,-48.828125
891375,14905.045296666667,1671630134.214,-25.87890625,-35.15625,-44.921875,-23.92578125,0.48828125
891375,14905.045296666667,1671630134.214,-25.87890625,-35.15625,-44.921875,-23.92578125,0.48828125
891376,14905.049642833334,1671630134.214,-31.73828125,-41.9921875,-41.50390625,-17.08984375,62.5
891376,14905.049642833334,1671630134.214,-31.73828125,-41.9921875,-41.50390625,-17.08984375,62.5
891377,14905.053989,1671630134.214,-25.390625,-43.9453125,-38.57421875,-20.01953125,23.92578125
891377,14905.053989,1671630134.214,-25.390625,-43.9453125,-38.57421875,-20.01953125,23.92578125
891378,14905.058335166666,1671630134.214,-21.97265625,-39.0625,-46.38671875,-22.4609375,-71.2890625
891378,14905.058335166666,1671630134.214,-21.97265625,-39.0625,-46.38671875,-22.4609375,-71.2890625
891379,14905.062681333333,1671630134.214,-18.06640625,-34.1796875,-45.41015625,-16.11328125,73.2421875
891379,14905.062681333333,1671630134.214,-18.06640625,-34.1796875,-45.41015625,-16.11328125,73.2421875
891380,14905.067027500001,1671630134.214,-16.6015625,-42.48046875,-43.45703125,-0.48828125,558.10546875
891380,14905.067027500001,1671630134.214,-16.6015625,-42.48046875,-43.45703125,-0.48828125,558.10546875
891381,14905.071373666668,1671630134.214,-25.390625,-45.8984375,-46.38671875,-4.8828125,361.81640625
891381,14905.071373666668,1671630134.214,-25.390625,-45.8984375,-46.38671875,-4.8828125,361.81640625
891382,14905.075719833334,1671630134.214,-37.59765625,-38.0859375,-45.8984375,-20.5078125,-146.484375
891382,14905.075719833334,1671630134.214,-37.59765625,-38.0859375,-45.8984375,-20.5078125,-146.484375
891383,14905.080066,1671630134.214,-32.71484375,-33.203125,-41.9921875,-16.11328125,-58.59375
891383,14905.080066,1671630134.214,-32.71484375,-33.203125,-41.9921875,-16.11328125,-58.59375
891384,14905.081603225,1671630134.232,-21.97265625,-24.90234375,-39.0625,-17.08984375,26.85546875
891384,14905.081603225,1671630134.232,-21.97265625,-24.90234375,-39.0625,-17.08984375,26.85546875
891385,14905.08314045,1671630134.232,-22.94921875,-24.90234375,-38.57421875,-15.625,-109.86328125
891385,14905.08314045,1671630134.232,-22.94921875,-24.90234375,-38.57421875,-15.625,-109.86328125
891386,14905.084677675,1671630134.232,-24.4140625,-33.69140625,-34.66796875,-13.671875,-155.2734375
891386,14905.084677675,1671630134.232,-24.4140625,-33.69140625,-34.66796875,-13.671875,-155.2734375
891387,14905.0862149,1671630134.232,-43.45703125,-37.59765625,-34.1796875,-19.04296875,-118.1640625
891387,14905.0862149,1671630134.232,-43.45703125,-37.59765625,-34.1796875,-19.04296875,-118.1640625
891388,14905.087752125,1671630134.232,-48.828125,-33.69140625,-37.109375,-20.5078125,-117.1875
891388,14905.087752125,1671630134.232,-48.828125,-33.69140625,-37.109375,-20.5078125,-117.1875
891389,14905.08928935,1671630134.232,-11.23046875,-31.25,-30.76171875,-20.99609375,-18.5546875
891389,14905.08928935,1671630134.232,-11.23046875,-31.25,-30.76171875,-20.99609375,-18.5546875
891390,14905.090826575,1671630134.232,-12.20703125,-37.59765625,-29.78515625,-14.16015625,8.30078125
891390,14905.090826575,1671630134.232,-12.20703125,-37.59765625,-29.78515625,-14.16015625,8.30078125
891391,14905.0923638,1671630134.232,-28.3203125,-41.9921875,-32.71484375,-16.6015625,193.84765625
891391,14905.0923638,1671630134.232,-28.3203125,-41.9921875,-32.71484375,-16.6015625,193.84765625
891392,14905.093901025,1671630134.232,-31.73828125,-35.64453125,-33.203125,-28.80859375,142.578125
891392,14905.093901025,1671630134.232,-31.73828125,-35.64453125,-33.203125,-28.80859375,142.578125
891393,14905.09543825,1671630134.232,-33.69140625,-33.203125,-38.0859375,-30.76171875,-187.01171875
891393,14905.09543825,1671630134.232,-33.69140625,-33.203125,-38.0859375,-30.76171875,-187.01171875
891394,14905.096975475,1671630134.232,-29.296875,-37.59765625,-41.9921875,-33.69140625,-187.98828125
891394,14905.096975475,1671630134.232,-29.296875,-37.59765625,-41.9921875,-33.69140625,-187.98828125
891395,14905.0985127,1671630134.232,-31.73828125,-31.25,-38.0859375,-31.73828125,-91.796875
891395,14905.0985127,1671630134.232,-31.73828125,-31.25,-38.0859375,-31.73828125,-91.796875
891396,14905.098921841667,1671630134.237,-31.73828125,-24.4140625,-32.71484375,-25.390625,-99.12109375
891396,14905.098921841667,1671630134.237,-31.73828125,-24.4140625,-32.71484375,-25.390625,-99.12109375
891397,14905.099330983334,1671630134.237,-22.94921875,-27.34375,-29.78515625,-26.3671875,-173.828125
891397,14905.099330983334,1671630134.237,-22.94921875,-27.34375,-29.78515625,-26.3671875,-173.828125
891398,14905.099740125,1671630134.237,-20.01953125,-30.2734375,-31.73828125,-22.4609375,18.5546875
891398,14905.099740125,1671630134.237,-20.01953125,-30.2734375,-31.73828125,-22.4609375,18.5546875
891399,14905.100149266667,1671630134.237,-18.06640625,-27.34375,-29.296875,-15.625,131.34765625
891399,14905.100149266667,1671630134.237,-18.06640625,-27.34375,-29.296875,-15.625,131.34765625
891400,14905.100558408334,1671630134.237,-19.53125,-24.90234375,-29.78515625,-21.484375,-100.5859375
891400,14905.100558408334,1671630134.237,-19.53125,-24.90234375,-29.78515625,-21.484375,-100.5859375
891401,14905.100967549999,1671630134.237,-30.76171875,-30.76171875,-37.109375,-30.2734375,-140.625
891401,14905.100967549999,1671630134.237,-30.76171875,-30.76171875,-37.109375,-30.2734375,-140.625
891402,14905.101376691666,1671630134.237,-33.203125,-34.66796875,-35.64453125,-19.04296875,148.92578125
891402,14905.101376691666,1671630134.237,-33.203125,-34.66796875,-35.64453125,-19.04296875,148.92578125
891403,14905.101785833333,1671630134.237,-32.71484375,-35.15625,-33.203125,-6.8359375,283.203125
891403,14905.101785833333,1671630134.237,-32.71484375,-35.15625,-33.203125,-6.8359375,283.203125
891404,14905.102194975,1671630134.237,-38.57421875,-34.66796875,-35.15625,-23.92578125,-9.765625
891404,14905.102194975,1671630134.237,-38.57421875,-34.66796875,-35.15625,-23.92578125,-9.765625
891405,14905.102604116666,1671630134.237,-42.48046875,-34.1796875,-37.109375,-36.1328125,-193.84765625
891405,14905.102604116666,1671630134.237,-42.48046875,-34.1796875,-37.109375,-36.1328125,-193.84765625
891406,14905.103013258333,1671630134.237,-35.15625,-36.62109375,-39.55078125,-23.92578125,95.21484375
891406,14905.103013258333,1671630134.237,-35.15625,-36.62109375,-39.55078125,-23.92578125,95.21484375
891407,14905.1034224,1671630134.237,-40.0390625,-35.64453125,-41.015625,-19.53125,303.7109375
891407,14905.1034224,1671630134.237,-40.0390625,-35.64453125,-41.015625,-19.53125,303.7109375
891408,14905.104599925,1671630134.251,-41.9921875,-38.57421875,-41.9921875,-32.71484375,-41.50390625
891408,14905.104599925,1671630134.251,-41.9921875,-38.57421875,-41.9921875,-32.71484375,-41.50390625
891409,14905.10577745,1671630134.251,-31.25,-41.015625,-41.9921875,-31.25,-141.11328125
891409,14905.10577745,1671630134.251,-31.25,-41.015625,-41.9921875,-31.25,-141.11328125
891410,14905.106954975,1671630134.251,-32.71484375,-37.59765625,-42.48046875,-26.85546875,-17.08984375
891410,14905.106954975,1671630134.251,-32.71484375,-37.59765625,-42.48046875,-26.85546875,-17.08984375
891411,14905.1081325,1671630134.251,-35.15625,-37.59765625,-39.0625,-25.390625,-88.37890625
891411,14905.1081325,1671630134.251,-35.15625,-37.59765625,-39.0625,-25.390625,-88.37890625
891412,14905.109310025,1671630134.251,-28.3203125,-40.52734375,-36.1328125,-27.34375,-257.32421875
891412,14905.109310025,1671630134.251,-28.3203125,-40.52734375,-36.1328125,-27.34375,-257.32421875
891413,14905.110487549999,1671630134.251,-33.69140625,-42.48046875,-36.1328125,-30.76171875,-233.88671875
891413,14905.110487549999,1671630134.251,-33.69140625,-42.48046875,-36.1328125,-30.76171875,-233.88671875
891414,14905.111665075,1671630134.251,-31.73828125,-40.52734375,-27.83203125,-14.16015625,101.07421875
891414,14905.111665075,1671630134.251,-31.73828125,-40.52734375,-27.83203125,-14.16015625,101.07421875
891415,14905.1128426,1671630134.251,-19.53125,-38.0859375,-30.2734375,-6.8359375,37.59765625
891415,14905.1128426,1671630134.251,-19.53125,-38.0859375,-30.2734375,-6.8359375,37.59765625
891416,14905.114020125,1671630134.251,-13.671875,-37.59765625,-34.1796875,-22.94921875,-217.7734375
891416,14905.114020125,1671630134.251,-13.671875,-37.59765625,-34.1796875,-22.94921875,-217.7734375
891417,14905.11519765,1671630134.251,-15.625,-36.62109375,-26.85546875,-21.97265625,-89.35546875
891417,14905.11519765,1671630134.251,-15.625,-36.62109375,-26.85546875,-21.97265625,-89.35546875
891418,14905.116375175,1671630134.251,-28.3203125,-35.64453125,-28.80859375,-23.4375,-106.4453125
