id,lsl_ts,unix_ts,ambient,ir,red
222900,14905.0123847,1671630134.16,551,96302,59337
222900,14905.0123847,1671630134.16,551,96302,59337
222901,14905.0150803,1671630134.16,536,103449,59542
222901,14905.0150803,1671630134.16,536,103449,59542
222902,14905.0177759,1671630134.16,534,103358,59517
222902,14905.0177759,1671630134.16,534,103358,59517
222903,14905.0204715,1671630134.16,532,103365,59534
222903,14905.0204715,1671630134.16,532,103365,59534
222904,14905.0231671,1671630134.16,532,103354,59546
222904,14905.0231671,1671630134.16,532,103354,59546
222905,14905.0258627,1671630134.16,534,103319,59537
222905,14905.0258627,1671630134.16,534,103319,59537
222906,14905.032836866667,1671630134.201,534,103357,59564
222906,14905.032836866667,1671630134.201,534,103357,59564
222907,14905.039811033334,1671630134.201,533,103377,59537
222907,14905.039811033334,1671630134.201,533,103377,59537
222908,14905.0467852,1671630134.201,534,103404,59550
222908,14905.0467852,1671630134.201,534,103404,59550
222909,14905.053759366667,1671630134.201,532,103372,59546
222909,14905.053759366667,1671630134.201,532,103372,59546
222910,14905.060733533333,1671630134.201,531,103435,59561
222910,14905.060733533333,1671630134.201,531,103435,59561
222911,14905.0677077,1671630134.201,530,103426,59584
222911,14905.0677077,1671630134.201,530,103426,59584
222912,14905.076395216667,1671630134.253,533,103422,59546
222912,14905.076395216667,1671630134.253,533,103422,59546
222913,14905.085082733332,1671630134.253,533,103476,59573
222913,14905.085082733332,1671630134.253,533,103476,59573
222914,14905.09377025,1671630134.253,533,103496,59575
222914,14905.09377025,1671630134.253,533,103496,59575
222915,14905.102457766667,1671630134.253,532,103462,59583
222915,14905.102457766667,1671630134.253,532,103462,59583
222916,14905.111145283332,1671630134.253,534,103442,59564
222916,14905.111145283332,1671630134.253,534,103442,59564
222917,14905.1198328,1671630134.253,531,103534,59576
222917,14905.1198328,1671630134.253,531,103534,59576
222918,14905.133489799999,1671630134.335,532,103452,59570
222918,14905.133489799999,1671630134.335,532,103452,59570
222919,14905.1471468,1671630134.335,532,103549,59603
222919,14905.1471468,1671630134.335,532,103549,59603
222920,14905.1608038,1671630134.335,532,103435,59591
222920,14905.1608038,1671630134.335,532,103435,59591
222921,14905.174460799999,1671630134.335,532,103577,59597
222921,14905.174460799999,1671630134.335,532,103577,59597
222922,14905.1881178,1671630134.335,533,103578,59609
222922,14905.1881178,1671630134.335,533,103578,59609
222923,14905.2017748,1671630134.335,532,103452,59598
222923,14905.2017748,1671630134.335,532,103452,59598
222924,14905.215893316667,1671630134.42,532,103481,59592
222924,14905.215893316667,1671630134.42,532,103481,59592
222925,14905.230011833333,1671630134.42,533,103463,59578
222925,14905.230011833333,1671630134.42,533,103463,59578
222926,14905.24413035,1671630134.42,530,103455,59563
222926,14905.24413035,1671630134.42,530,103455,59563
222927,14905.258248866667,1671630134.42,531,103398,59586
222927,14905.258248866667,1671630134.42,531,103398,59586
222928,14905.272367383333,1671630134.42,532,103426,59594
222928,14905.272367383333,1671630134.42,532,103426,59594
222929,14905.2864859,1671630134.42,534,103355,59566
222929,14905.2864859,1671630134.42,534,103355,59566
222930,14905.30528045,1671630134.533,534,103378,59582
222930,14905.30528045,1671630134.533,534,103378,59582
222931,14905.324075,1671630134.533,533,103444,59579
222931,14905.324075,1671630134.533,533,103444,59579
222932,14905.34286955,1671630134.533,533,103301,59559
222932,14905.34286955,1671630134.533,533,103301,59559
222933,14905.361664099999,1671630134.533,531,103345,59568
222933,14905.361664099999,1671630134.533,531,103345,59568
222934,14905.38045865,1671630134.533,532,103301,59557
222934,14905.38045865,1671630134.533,532,103301,59557
222935,14905.3992532,1671630134.533,530,103379,59553
222935,14905.3992532,1671630134.533,530,103379,59553
222936,14905.413959283333,1671630134.621,531,103349,59552
222936,14905.413959283333,1671630134.621,531,103349,59552
222937,14905.428665366666,1671630134.621,534,103275,59534
222937,14905.428665366666,1671630134.621,534,103275,59534
222938,14905.443371450001,1671630134.621,535,103359,59560
222938,14905.443371450001,1671630134.621,535,103359,59560
222939,14905.458077533334,1671630134.621,534,103263,59542
222939,14905.458077533334,1671630134.621,534,103263,59542
222940,14905.472783616668,1671630134.621,533,103285,59533
222940,14905.472783616668,1671630134.621,533,103285,59533
222941,14905.4874897,1671630134.621,532,103322,59547
222941,14905.4874897,1671630134.621,532,103322,59547
222942,14905.502626166668,1671630134.712,530,103274,59540
222942,14905.502626166668,1671630134.712,530,103274,59540
222943,14905.517762633333,1671630134.712,532,103317,59547
222943,14905.517762633333,1671630134.712,532,103317,59547
222944,14905.5328991,1671630134.712,532,103348,59569
222944,14905.5328991,1671630134.712,532,103348,59569
222945,14905.548035566668,1671630134.712,533,103238,59543
222945,14905.548035566668,1671630134.712,533,103238,59543
222946,14905.563172033333,1671630134.712,532,103362,59561
222946,14905.563172033333,1671630134.712,532,103362,59561
222947,14905.5783085,1671630134.712,532,103246,59550
222947,14905.5783085,1671630134.712,532,103246,59550
222948,14905.59401355,1671630134.806,532,103262,59551
222948,14905.59401355,1671630134.806,532,103262,59551
222949,14905.6097186,1671630134.806,532,103303,59565
222949,14905.6097186,1671630134.806,532,103303,59565
222950,14905.625423649999,1671630134.806,532,103281,59569
222950,14905.625423649999,1671630134.806,532,103281,59569
222951,14905.6411287,1671630134.806,530,103270,59548
222951,14905.6411287,1671630134.806,530,103270,59548
222952,14905.65683375,1671630134.806,530,103190,59552
222952,14905.65683375,1671630134.806,530,103190,59552
222953,14905.6725388,1671630134.806,531,103232,59559
222953,14905.6725388,1671630134.806,531,103232,59559
222954,14905.687530883333,1671630134.896,532,103309,59572
222954,14905.687530883333,1671630134.896,532,103309,59572
222955,14905.702522966667,1671630134.896,532,103271,59556
222955,14905.702522966667,1671630134.896,532,103271,59556
222956,14905.71751505,1671630134.896,532,103296,59568
222956,14905.71751505,1671630134.896,532,103296,59568
222957,14905.732507133333,1671630134.896,531,103241,59561
222957,14905.732507133333,1671630134.896,531,103241,59561
222958,14905.747499216666,1671630134.896,530,103282,59573
222958,14905.747499216666,1671630134.896,530,103282,59573
222959,14905.7624913,1671630134.896,532,103289,59576
222959,14905.7624913,1671630134.896,532,103289,59576
222960,14905.777913483333,1671630134.989,531,103306,59559
222960,14905.777913483333,1671630134.989,531,103306,59559
222961,14905.793335666667,1671630134.989,532,103344,59594
222961,14905.793335666667,1671630134.989,532,103344,59594
222962,14905.80875785,1671630134.989,533,103343,59575
222962,14905.80875785,1671630134.989,533,103343,59575
222963,14905.824180033333,1671630134.989,532,103363,59585
222963,14905.824180033333,1671630134.989,532,103363,59585
222964,14905.839602216667,1671630134.989,530,103375,59577
222964,14905.839602216667,1671630134.989,530,103375,59577
222965,14905.8550244,1671630134.989,530,103413,59610
222965,14905.8550244,1671630134.989,530,103413,59610
222966,14905.871221183334,1671630135.086,532,103396,59588
222966,14905.871221183334,1671630135.086,532,103396,59588
222967,14905.887417966667,1671630135.086,531,103365,59593
222967,14905.887417966667,1671630135.086,531,103365,59593
222968,14905.903614750001,1671630135.086,531,103395,59613
222968,14905.903614750001,1671630135.086,531,103395,59613
222969,14905.919811533333,1671630135.086,531,103360,59586
222969,14905.919811533333,1671630135.086,531,103360,59586
222970,14905.936008316667,1671630135.086,534,103394,59595
222970,14905.936008316667,1671630135.086,534,103394,59595
222971,14905.9522051,1671630135.086,531,103358,59607
222971,14905.9522051,1671630135.086,531,103358,59607
222972,14905.967032550001,1671630135.175,533,103378,59621
222972,14905.967032550001,1671630135.175,533,103378,59621
222973,14905.98186,1671630135.175,532,103435,59640
222973,14905.98186,1671630135.175,532,103435,59640
222974,14905.99668745,1671630135.175,533,103409,59605
222974,14905.99668745,1671630135.175,533,103409,59605
222975,14906.011514900001,1671630135.175,531,103417,59621
222975,14906.011514900001,1671630135.175,531,103417,59621
