id,lsl_ts,unix_ts,ambient,ir,red
60618,10320.41474095,1671625549.564,527,111327,63399
60618,10320.41474095,1671625549.564,527,111327,63399
60619,10320.4178078,1671625549.564,514,123647,64137
60619,10320.4178078,1671625549.564,514,123647,64137
60620,10320.42087465,1671625549.564,510,123587,64100
60620,10320.42087465,1671625549.564,510,123587,64100
60621,10320.4239415,1671625549.564,510,123700,64113
60621,10320.4239415,1671625549.564,510,123700,64113
60622,10320.42700835,1671625549.564,509,123733,64097
60622,10320.42700835,1671625549.564,509,123733,64097
60623,10320.4300752,1671625549.564,510,123639,64082
60623,10320.4300752,1671625549.564,510,123639,64082
60624,10320.441332033333,1671625549.632,509,123649,64079
60624,10320.441332033333,1671625549.632,509,123649,64079
60625,10320.452588866667,1671625549.632,510,123609,64041
60625,10320.452588866667,1671625549.632,510,123609,64041
60626,10320.4638457,1671625549.632,509,123696,64054
60626,10320.4638457,1671625549.632,509,123696,64054
60627,10320.475102533333,1671625549.632,510,123622,64050
60627,10320.475102533333,1671625549.632,510,123622,64050
60628,10320.486359366667,1671625549.632,510,123615,64041
60628,10320.486359366667,1671625549.632,510,123615,64041
60629,10320.4976162,1671625549.632,509,123555,64018
60629,10320.4976162,1671625549.632,509,123555,64018
60630,10320.504512533334,1671625549.673,510,123677,64017
60630,10320.504512533334,1671625549.673,510,123677,64017
60631,10320.511408866667,1671625549.673,509,123573,64017
60631,10320.511408866667,1671625549.673,509,123573,64017
60632,10320.5183052,1671625549.673,509,123529,64004
60632,10320.5183052,1671625549.673,509,123529,64004
60633,10320.525201533334,1671625549.673,508,123540,64000
60633,10320.525201533334,1671625549.673,508,123540,64000
60634,10320.532097866668,1671625549.673,508,123572,63991
60634,10320.532097866668,1671625549.673,508,123572,63991
60635,10320.5389942,1671625549.673,508,123592,63977
60635,10320.5389942,1671625549.673,508,123592,63977
60636,10320.5528768,1671625549.756,509,123552,64003
60636,10320.5528768,1671625549.756,509,123552,64003
60637,10320.5667594,1671625549.756,509,123460,63979
60637,10320.5667594,1671625549.756,509,123460,63979
60638,10320.580642,1671625549.756,509,123657,64018
60638,10320.580642,1671625549.756,509,123657,64018
60639,10320.5945246,1671625549.756,510,123619,63994
60639,10320.5945246,1671625549.756,510,123619,63994
60640,10320.6084072,1671625549.756,509,123615,63997
60640,10320.6084072,1671625549.756,509,123615,63997
60641,10320.6222898,1671625549.756,509,123545,63966
60641,10320.6222898,1671625549.756,509,123545,63966
60642,10320.63729355,1671625549.846,511,123619,63982
60642,10320.63729355,1671625549.846,511,123619,63982
60643,10320.6522973,1671625549.846,510,123641,63988
60643,10320.6522973,1671625549.846,510,123641,63988
60644,10320.66730105,1671625549.846,509,123618,63980
60644,10320.66730105,1671625549.846,509,123618,63980
60645,10320.6823048,1671625549.846,509,123748,64006
60645,10320.6823048,1671625549.846,509,123748,64006
60646,10320.69730855,1671625549.846,510,123655,63986
60646,10320.69730855,1671625549.846,510,123655,63986
60647,10320.7123123,1671625549.846,508,123805,64028
60647,10320.7123123,1671625549.846,508,123805,64028
60648,10320.72790615,1671625549.94,509,123744,64008
60648,10320.72790615,1671625549.94,509,123744,64008
60649,10320.7435,1671625549.94,509,123639,64007
60649,10320.7435,1671625549.94,509,123639,64007
60650,10320.75909385,1671625549.94,511,123709,64020
60650,10320.75909385,1671625549.94,511,123709,64020
60651,10320.774687699999,1671625549.94,511,123788,64016
60651,10320.774687699999,1671625549.94,511,123788,64016
60652,10320.79028155,1671625549.94,509,123886,64003
60652,10320.79028155,1671625549.94,509,123886,64003
60653,10320.8058754,1671625549.94,508,123747,64010
60653,10320.8058754,1671625549.94,508,123747,64010
60654,10320.822405283332,1671625550.039,509,123860,64033
60654,10320.822405283332,1671625550.039,509,123860,64033
60655,10320.838935166666,1671625550.039,509,123792,64020
60655,10320.838935166666,1671625550.039,509,123792,64020
60656,10320.855465050001,1671625550.039,508,123889,64032
60656,10320.855465050001,1671625550.039,508,123889,64032
60657,10320.871994933334,1671625550.039,510,123851,64028
60657,10320.871994933334,1671625550.039,510,123851,64028
60658,10320.888524816666,1671625550.039,510,123909,64059
