id,lsl_ts,unix_ts,ch1,ch2,ch3,ch4,ch5
829116,14383.198779066666,1671629612.348,0,0,-0.48828125,0,-117.1875
829116,14383.198779066666,1671629612.348,0,0,-0.48828125,0,-117.1875
829117,14383.200192233333,1671629612.348,0,0,-1.953125,0,-79.58984375
829117,14383.200192233333,1671629612.348,0,0,-1.953125,0,-79.58984375
829118,14383.2016054,1671629612.348,-2.44140625,-1.953125,11.71875,-2.44140625,11.71875
829118,14383.2016054,1671629612.348,-2.44140625,-1.953125,11.71875,-2.44140625,11.71875
829119,14383.203018566666,1671629612.348,4.8828125,3.41796875,-39.0625,4.39453125,-4.39453125
829119,14383.203018566666,1671629612.348,4.8828125,3.41796875,-39.0625,4.39453125,-4.39453125
829120,14383.204431733333,1671629612.348,-27.34375,-17.08984375,139.6484375,-22.94921875,-125
829120,14383.204431733333,1671629612.348,-27.34375,-17.08984375,139.6484375,-22.94921875,-125
829121,14383.2058449,1671629612.348,-62.98828125,-42.96875,142.08984375,-60.546875,31.25
829121,14383.2058449,1671629612.348,-62.98828125,-42.96875,142.08984375,-60.546875,31.25
829122,14383.207258066666,1671629612.348,-51.26953125,-28.3203125,-133.7890625,-48.828125,460.9375
829122,14383.207258066666,1671629612.348,-51.26953125,-28.3203125,-133.7890625,-48.828125,460.9375
829123,14383.208671233333,1671629612.348,-56.640625,-22.94921875,-69.3359375,-44.921875,583.49609375
829123,14383.208671233333,1671629612.348,-56.640625,-22.94921875,-69.3359375,-44.921875,583.49609375
829124,14383.2100844,1671629612.348,-65.4296875,-31.25,-38.57421875,-56.15234375,115.72265625
829124,14383.2100844,1671629612.348,-65.4296875,-31.25,-38.57421875,-56.15234375,115.72265625
829125,14383.211497566666,1671629612.348,-66.40625,-29.78515625,-36.62109375,-57.12890625,-132.32421875
829125,14383.211497566666,1671629612.348,-66.40625,-29.78515625,-36.62109375,-57.12890625,-132.32421875
829126,14383.212910733333,1671629612.348,-55.17578125,-23.92578125,-20.99609375,-44.43359375,-69.3359375
829126,14383.212910733333,1671629612.348,-55.17578125,-23.92578125,-20.99609375,-44.43359375,-69.3359375
829127,14383.2143239,1671629612.348,-52.24609375,-25.390625,-13.671875,-39.0625,-56.15234375
829127,14383.2143239,1671629612.348,-52.24609375,-25.390625,-13.671875,-39.0625,-56.15234375
829128,14383.224818175,1671629612.473,-56.15234375,-28.3203125,-15.625,-40.0390625,-69.82421875
829128,14383.224818175,1671629612.473,-56.15234375,-28.3203125,-15.625,-40.0390625,-69.82421875
829129,14383.23531245,1671629612.473,-67.87109375,-22.4609375,-16.6015625,-52.24609375,-80.078125
829129,14383.23531245,1671629612.473,-67.87109375,-22.4609375,-16.6015625,-52.24609375,-80.078125
829130,14383.245806725,1671629612.473,-62.98828125,-22.94921875,-8.7890625,-57.12890625,-34.66796875
829130,14383.245806725,1671629612.473,-62.98828125,-22.94921875,-8.7890625,-57.12890625,-34.66796875
829131,14383.256301,1671629612.473,-43.9453125,-24.90234375,0,-44.43359375,-28.3203125
829131,14383.256301,1671629612.473,-43.9453125,-24.90234375,0,-44.43359375,-28.3203125
