id,lsl_ts,unix_ts,ambient,ir,red
11640,90074.07492285,1671368393.785,545,139879,92942
11640,90074.07492285,1671368393.785,545,139879,92942
11641,90074.0776195,1671368393.785,525,171507,98825
11641,90074.0776195,1671368393.785,525,171507,98825
11642,90074.08031615001,1671368393.785,521,171511,98813
11642,90074.08031615001,1671368393.785,521,171511,98813
11643,90074.0830128,1671368393.785,520,171477,98798
11643,90074.0830128,1671368393.785,520,171477,98798
11644,90074.08570945,1671368393.785,520,171474,98789
11644,90074.08570945,1671368393.785,520,171474,98789
11645,90074.0884061,1671368393.785,520,171428,98782
11645,90074.0884061,1671368393.785,520,171428,98782
11646,90074.09891666667,1671368393.848,520,171453,98775
11646,90074.09891666667,1671368393.848,520,171453,98775
11647,90074.10942723333,1671368393.848,521,171482,98771
11647,90074.10942723333,1671368393.848,521,171482,98771
11648,90074.11993779999,1671368393.848,522,171358,98753
11648,90074.11993779999,1671368393.848,522,171358,98753
11649,90074.13044836666,1671368393.848,522,171526,98775
11649,90074.13044836666,1671368393.848,522,171526,98775
11650,90074.14095893333,1671368393.848,521,171506,98758
11650,90074.14095893333,1671368393.848,521,171506,98758
11651,90074.1514695,1671368393.848,521,171462,98785
11651,90074.1514695,1671368393.848,521,171462,98785
11652,90074.15976763333,1671368393.898,519,171473,98770
11652,90074.15976763333,1671368393.898,519,171473,98770
11653,90074.16806576666,1671368393.898,520,171271,98734
11653,90074.16806576666,1671368393.898,520,171271,98734
11654,90074.1763639,1671368393.898,519,171219,98712
11654,90074.1763639,1671368393.898,519,171219,98712
11655,90074.18466203334,1671368393.898,519,171135,98675
11655,90074.18466203334,1671368393.898,519,171135,98675
11656,90074.19296016666,1671368393.898,521,171049,98663
11656,90074.19296016666,1671368393.898,521,171049,98663
11657,90074.2012583,1671368393.898,520,171053,98650
11657,90074.2012583,1671368393.898,520,171053,98650
11658,90074.21661211667,1671368393.99,520,170966,98604
11658,90074.21661211667,1671368393.99,520,170966,98604
11659,90074.23196593333,1671368393.99,518,170910,98610
11659,90074.23196593333,1671368393.99,518,170910,98610
11660,90074.24731975,1671368393.99,520,170863,98574
11660,90074.24731975,1671368393.99,520,170863,98574
11661,90074.26267356667,1671368393.99,520,170793,98583
11661,90074.26267356667,1671368393.99,520,170793,98583
11662,90074.27802738333,1671368393.99,520,170760,98554
11662,90074.27802738333,1671368393.99,520,170760,98554
11663,90074.2933812,1671368393.99,519,170759,98506
11663,90074.2933812,1671368393.99,519,170759,98506
11664,90074.30777326666,1671368394.077,521,170745,98471
11664,90074.30777326666,1671368394.077,521,170745,98471
11665,90074.32216533333,1671368394.077,520,170656,98447
11665,90074.32216533333,1671368394.077,520,170656,98447
11666,90074.3365574,1671368394.077,521,170629,98437
11666,90074.3365574,1671368394.077,521,170629,98437
11667,90074.35094946667,1671368394.077,519,170622,98435
11667,90074.35094946667,1671368394.077,519,170622,98435
11668,90074.36534153332,1671368394.077,520,170650,98406
11668,90074.36534153332,1671368394.077,520,170650,98406
11669,90074.3797336,1671368394.077,520,170495,98407
11669,90074.3797336,1671368394.077,520,170495,98407
11670,90074.39547405,1671368394.171,520,170519,98408
11670,90074.39547405,1671368394.171,520,170519,98408
11671,90074.4112145,1671368394.171,520,170472,98408
11671,90074.4112145,1671368394.171,520,170472,98408
11672,90074.42695495,1671368394.171,521,170426,98403
11672,90074.42695495,1671368394.171,521,170426,98403
11673,90074.44269540001,1671368394.171,521,170421,98412
11673,90074.44269540001,1671368394.171,521,170421,98412
11674,90074.45843585,1671368394.171,521,170430,98419
11674,90074.45843585,1671368394.171,521,170430,98419
11675,90074.4741763,1671368394.171,520,170329,98376
11675,90074.4741763,1671368394.171,520,170329,98376
11676,90074.49096663334,1671368394.272,519,170357,98388
11676,90074.49096663334,1671368394.272,519,170357,98388
11677,90074.50775696668,1671368394.272,520,170304,98389
11677,90074.50775696668,1671368394.272,520,170304,98389
11678,90074.52454730001,1671368394.272,519,170331,98371
11678,90074.52454730001,1671368394.272,519,170331,98371
11679,90074.54133763333,1671368394.272,521,170289,98383
11679,90074.54133763333,1671368394.272,521,170289,98383
