id,lsl_ts,unix_ts,battery_level,temperature_c,fuel_gauge_voltage
33,90408.5867047,1671368728.284,70,0,3225.2000000000003
33,90408.5867047,1671368728.284,70,0,3225.2000000000003
34,90418.9140987,1671368738.612,65,0,3214.2000000000003
34,90418.9140987,1671368738.612,65,0,3214.2000000000003
35,90429.2290689,1671368748.927,65,0,3220.8
35,90429.2290689,1671368748.927,65,0,3220.8
36,90439.5379466,1671368759.235,70,0,3227.4
36,90439.5379466,1671368759.235,70,0,3227.4
37,90449.8534147,1671368769.551,65,0,3223.0000000000005
37,90449.8534147,1671368769.551,65,0,3223.0000000000005
38,90460.1571054,1671368779.855,70,0,3227.4
38,90460.1571054,1671368779.855,70,0,3227.4
39,90470.4648328,1671368790.162,70,0,3227.4
39,90470.4648328,1671368790.162,70,0,3227.4
40,90480.7826291,1671368800.48,70,0,3227.4
40,90480.7826291,1671368800.48,70,0,3227.4
41,90491.0862738,1671368810.784,60,0,3209.8
41,90491.0862738,1671368810.784,60,0,3209.8
42,90501.3967167,1671368821.094,70,0,3225.2000000000003
42,90501.3967167,1671368821.094,70,0,3225.2000000000003
43,90511.6968989,1671368831.395,70,0,3225.2000000000003
43,90511.6968989,1671368831.395,70,0,3225.2000000000003
44,90522.0010727,1671368841.699,60,0,3209.8
44,90522.0010727,1671368841.699,60,0,3209.8
45,90532.3069635,1671368852.005,65,0,3218.6000000000004
45,90532.3069635,1671368852.005,65,0,3218.6000000000004
46,90542.6267307,1671368862.324,65,0,3216.4
46,90542.6267307,1671368862.324,65,0,3216.4
