id,lsl_ts,unix_ts,battery_level,temperature_c,fuel_gauge_voltage
0,8484.5530974,1671623713.687,80,0,3256.0000000000005
0,8484.5530974,1671623713.687,80,0,3256.0000000000005
1,8494.877027,1671623724.011,95,0,3280.2000000000003
1,8494.877027,1671623724.011,95,0,3280.2000000000003
2,8505.2162741,1671623734.35,95,0,3280.2000000000003
2,8505.2162741,1671623734.35,95,0,3280.2000000000003
3,8515.5467251,1671623744.681,95,0,3282.4
3,8515.5467251,1671623744.681,95,0,3282.4
4,8525.8816281,1671623755.016,95,0,3286.8
4,8525.8816281,1671623755.016,95,0,3286.8
5,8536.2118646,1671623765.346,90,0,3278.0000000000005
5,8536.2118646,1671623765.346,90,0,3278.0000000000005
6,8546.5347732,1671623775.669,95,0,3284.6000000000004
6,8546.5347732,1671623775.669,95,0,3284.6000000000004
7,8556.893614,1671623786.028,95,0,3280.2000000000003
7,8556.893614,1671623786.028,95,0,3280.2000000000003
8,8567.2063954,1671623796.34,95,0,3284.6000000000004
8,8567.2063954,1671623796.34,95,0,3284.6000000000004
9,8577.5331239,1671623806.667,90,0,3271.4
9,8577.5331239,1671623806.667,90,0,3271.4
10,8587.8603739,1671623816.994,95,0,3280.2000000000003
10,8587.8603739,1671623816.994,95,0,3280.2000000000003
11,8598.1812343,1671623827.315,95,0,3289.0000000000005
11,8598.1812343,1671623827.315,95,0,3289.0000000000005
12,8608.4998136,1671623837.634,95,0,3289.0000000000005
12,8608.4998136,1671623837.634,95,0,3289.0000000000005
13,8618.843909,1671623847.978,95,0,3284.6000000000004
13,8618.843909,1671623847.978,95,0,3284.6000000000004
14,8629.1574296,1671623858.291,95,0,3282.4
14,8629.1574296,1671623858.291,95,0,3282.4
15,8639.4820183,1671623868.616,100,0,3300.0000000000005
15,8639.4820183,1671623868.616,100,0,3300.0000000000005
16,8649.7973711,1671623878.931,90,0,3278.0000000000005
16,8649.7973711,1671623878.931,90,0,3278.0000000000005
17,8660.1809046,1671623889.315,90,0,3273.6000000000004
17,8660.1809046,1671623889.315,90,0,3273.6000000000004
18,8670.4604349,1671623899.594,90,0,3275.8
18,8670.4604349,1671623899.594,90,0,3275.8
19,8680.8133974,1671623909.947,90,0,3273.6000000000004
19,8680.8133974,1671623909.947,90,0,3273.6000000000004
20,8691.0810452,1671623920.215,95,0,3284.6000000000004
20,8691.0810452,1671623920.215,95,0,3284.6000000000004
21,8701.3953822,1671623930.529,95,0,3282.4
21,8701.3953822,1671623930.529,95,0,3282.4
22,8711.7147277,1671623940.849,90,0,3278.0000000000005
22,8711.7147277,1671623940.849,90,0,3278.0000000000005
23,8722.0221305,1671623951.156,85,0,3264.8
23,8722.0221305,1671623951.156,85,0,3264.8
24,8732.3565749,1671623961.49,95,0,3282.4
24,8732.3565749,1671623961.49,95,0,3282.4
25,8742.6734114,1671623971.807,95,0,3282.4
25,8742.6734114,1671623971.807,95,0,3282.4
26,8752.9907939,1671623982.124,90,0,3271.4
26,8752.9907939,1671623982.124,90,0,3271.4
27,8763.3227958,1671623992.456,95,0,3280.2000000000003
27,8763.3227958,1671623992.456,95,0,3280.2000000000003
28,8773.6050613,1671624002.739,85,0,3264.8
28,8773.6050613,1671624002.739,85,0,3264.8
