id,lsl_ts,unix_ts,battery_level,temperature_c,fuel_gauge_voltage
179,11492.6119383,1671626721.745,75,0,3238.4
179,11492.6119383,1671626721.745,75,0,3238.4
180,11502.9344887,1671626732.068,75,0,3236.2000000000003
180,11502.9344887,1671626732.068,75,0,3236.2000000000003
181,11513.2337559,1671626742.368,70,0,3234.0000000000005
181,11513.2337559,1671626742.368,70,0,3234.0000000000005
182,11523.5456765,1671626752.68,70,0,3234.0000000000005
182,11523.5456765,1671626752.68,70,0,3234.0000000000005
183,11533.8551216,1671626762.989,75,0,3236.2000000000003
183,11533.8551216,1671626762.989,75,0,3236.2000000000003
184,11544.1632655,1671626773.297,70,0,3234.0000000000005
184,11544.1632655,1671626773.297,70,0,3234.0000000000005
185,11554.4679982,1671626783.602,65,0,3223.0000000000005
185,11554.4679982,1671626783.602,65,0,3223.0000000000005
186,11564.7729657,1671626793.907,65,0,3216.4
186,11564.7729657,1671626793.907,65,0,3216.4
187,11575.0913974,1671626804.225,70,0,3231.8
187,11575.0913974,1671626804.225,70,0,3231.8
188,11585.3859189,1671626814.52,70,0,3227.4
188,11585.3859189,1671626814.52,70,0,3227.4
189,11595.7002488,1671626824.834,70,0,3234.0000000000005
189,11595.7002488,1671626824.834,70,0,3234.0000000000005
190,11606.0085649,1671626835.143,65,0,3223.0000000000005
190,11606.0085649,1671626835.143,65,0,3223.0000000000005
191,11616.335585,1671626845.47,65,0,3214.2000000000003
191,11616.335585,1671626845.47,65,0,3214.2000000000003
192,11626.6218809,1671626855.756,70,0,3231.8
192,11626.6218809,1671626855.756,70,0,3231.8
193,11636.9415594,1671626866.075,65,0,3218.6000000000004
193,11636.9415594,1671626866.075,65,0,3218.6000000000004
194,11647.2521982,1671626876.386,70,0,3227.4
194,11647.2521982,1671626876.386,70,0,3227.4
195,11657.5464579,1671626886.68,70,0,3227.4
195,11657.5464579,1671626886.68,70,0,3227.4
196,11667.853115,1671626896.987,70,0,3225.2000000000003
196,11667.853115,1671626896.987,70,0,3225.2000000000003
197,11678.1744011,1671626907.308,70,0,3227.4
197,11678.1744011,1671626907.308,70,0,3227.4
198,11688.5335583,1671626917.667,70,0,3227.4
198,11688.5335583,1671626917.667,70,0,3227.4
199,11698.7838053,1671626927.918,90,0,3271.4
199,11698.7838053,1671626927.918,90,0,3271.4
200,11709.0910231,1671626938.225,65,0,3214.2000000000003
200,11709.0910231,1671626938.225,65,0,3214.2000000000003
201,11719.3960712,1671626948.53,70,0,3227.4
201,11719.3960712,1671626948.53,70,0,3227.4
202,11729.6890325,1671626958.823,70,0,3227.4
202,11729.6890325,1671626958.823,70,0,3227.4
203,11739.9975044,1671626969.132,70,0,3229.6000000000004
203,11739.9975044,1671626969.132,70,0,3229.6000000000004
204,11750.2940959,1671626979.428,70,0,3225.2000000000003
204,11750.2940959,1671626979.428,70,0,3225.2000000000003
205,11760.5909027,1671626989.725,70,0,3225.2000000000003
205,11760.5909027,1671626989.725,70,0,3225.2000000000003
206,11770.895704,1671627000.03,65,0,3218.6000000000004
206,11770.895704,1671627000.03,65,0,3218.6000000000004
207,11781.2246836,1671627010.358,70,0,3227.4
207,11781.2246836,1671627010.358,70,0,3227.4
208,11791.5215714,1671627020.655,65,0,3218.6000000000004
208,11791.5215714,1671627020.655,65,0,3218.6000000000004
209,11801.8067733,1671627030.941,70,0,3227.4
209,11801.8067733,1671627030.941,70,0,3227.4
