id,lsl_ts,unix_ts,ambient,ir,red
211050,14553.285301433334,1671629782.433,556,102467,62872
211050,14553.285301433334,1671629782.433,556,102467,62872
211051,14553.288011266666,1671629782.433,537,111440,63539
211051,14553.288011266666,1671629782.433,537,111440,63539
211052,14553.2907211,1671629782.433,537,111403,63510
211052,14553.2907211,1671629782.433,537,111403,63510
211053,14553.293430933334,1671629782.433,534,111469,63527
211053,14553.293430933334,1671629782.433,534,111469,63527
211054,14553.296140766666,1671629782.433,534,111486,63529
211054,14553.296140766666,1671629782.433,534,111486,63529
211055,14553.2988506,1671629782.433,534,111365,63513
211055,14553.2988506,1671629782.433,534,111365,63513
211056,14553.30950755,1671629782.497,535,111439,63521
211056,14553.30950755,1671629782.497,535,111439,63521
211057,14553.3201645,1671629782.497,535,111489,63535
211057,14553.3201645,1671629782.497,535,111489,63535
211058,14553.33082145,1671629782.497,535,111548,63536
211058,14553.33082145,1671629782.497,535,111548,63536
211059,14553.3414784,1671629782.497,534,111427,63518
211059,14553.3414784,1671629782.497,534,111427,63518
211060,14553.35213535,1671629782.497,533,111412,63487
211060,14553.35213535,1671629782.497,533,111412,63487
211061,14553.3627923,1671629782.497,531,111411,63477
211061,14553.3627923,1671629782.497,531,111411,63477
211062,14553.371317916666,1671629782.548,533,111400,63482
211062,14553.371317916666,1671629782.548,533,111400,63482
211063,14553.379843533334,1671629782.548,532,111459,63492
211063,14553.379843533334,1671629782.548,532,111459,63492
211064,14553.388369150001,1671629782.548,532,111426,63476
211064,14553.388369150001,1671629782.548,532,111426,63476
211065,14553.396894766667,1671629782.548,533,111345,63462
211065,14553.396894766667,1671629782.548,533,111345,63462
211066,14553.405420383333,1671629782.548,534,111442,63476
211066,14553.405420383333,1671629782.548,534,111442,63476
211067,14553.413946,1671629782.548,533,111511,63472
211067,14553.413946,1671629782.548,533,111511,63472
211068,14553.42515155,1671629782.615,532,111363,63469
211068,14553.42515155,1671629782.615,532,111363,63469
211069,14553.436357100001,1671629782.615,533,111373,63458
211069,14553.436357100001,1671629782.615,533,111373,63458
211070,14553.44756265,1671629782.615,531,111332,63450
211070,14553.44756265,1671629782.615,531,111332,63450
211071,14553.4587682,1671629782.615,531,111377,63464
211071,14553.4587682,1671629782.615,531,111377,63464
211072,14553.469973750001,1671629782.615,532,111422,63494
211072,14553.469973750001,1671629782.615,532,111422,63494
211073,14553.4811793,1671629782.615,532,111368,63472
211073,14553.4811793,1671629782.615,532,111368,63472
211074,14553.49650345,1671629782.707,534,111456,63469
211074,14553.49650345,1671629782.707,534,111456,63469
211075,14553.511827600001,1671629782.707,533,111459,63482
211075,14553.511827600001,1671629782.707,533,111459,63482
211076,14553.52715175,1671629782.707,533,111459,63492
211076,14553.52715175,1671629782.707,533,111459,63492
211077,14553.5424759,1671629782.707,533,111378,63483
211077,14553.5424759,1671629782.707,533,111378,63483
211078,14553.55780005,1671629782.707,532,111382,63451
211078,14553.55780005,1671629782.707,532,111382,63451
211079,14553.5731242,1671629782.707,532,111430,63474
211079,14553.5731242,1671629782.707,532,111430,63474
211080,14553.588823133334,1671629782.801,532,111420,63467
211080,14553.588823133334,1671629782.801,532,111420,63467
211081,14553.604522066667,1671629782.801,533,111355,63451
211081,14553.604522066667,1671629782.801,533,111355,63451
211082,14553.620221000001,1671629782.801,533,111456,63455
211082,14553.620221000001,1671629782.801,533,111456,63455
211083,14553.635919933333,1671629782.801,532,111464,63487
211083,14553.635919933333,1671629782.801,532,111464,63487
211084,14553.651618866666,1671629782.801,533,111370,63463
211084,14553.651618866666,1671629782.801,533,111370,63463
211085,14553.6673178,1671629782.801,533,111427,63455
211085,14553.6673178,1671629782.801,533,111427,63455
211086,14553.683665316667,1671629782.899,532,111388,63475
211086,14553.683665316667,1671629782.899,532,111388,63475
211087,14553.700012833333,1671629782.899,532,111476,63471
211087,14553.700012833333,1671629782.899,532,111476,63471
211088,14553.716360350001,1671629782.899,530,111540,63472
211088,14553.716360350001,1671629782.899,530,111540,63472
211089,14553.732707866668,1671629782.899,532,111531,63479
211089,14553.732707866668,1671629782.899,532,111531,63479
211090,14553.749055383334,1671629782.899,533,111449,63457
211090,14553.749055383334,1671629782.899,533,111449,63457
211091,14553.7654029,1671629782.899,533,111403,63468
211091,14553.7654029,1671629782.899,533,111403,63468
211092,14553.7811727,1671629782.994,533,111519,63481
211092,14553.7811727,1671629782.994,533,111519,63481
211093,14553.796942500001,1671629782.994,533,111523,63455
211093,14553.796942500001,1671629782.994,533,111523,63455
211094,14553.812712300001,1671629782.994,532,111515,63469
211094,14553.812712300001,1671629782.994,532,111515,63469
211095,14553.8284821,1671629782.994,530,111443,63467
211095,14553.8284821,1671629782.994,530,111443,63467
211096,14553.8442519,1671629782.994,532,111473,63453
211096,14553.8442519,1671629782.994,532,111473,63453
211097,14553.8600217,1671629782.994,533,111584,63472
211097,14553.8600217,1671629782.994,533,111584,63472
211098,14553.874181216666,1671629783.079,534,111589,63515
211098,14553.874181216666,1671629783.079,534,111589,63515
211099,14553.888340733334,1671629783.079,534,111544,63456
211099,14553.888340733334,1671629783.079,534,111544,63456
211100,14553.90250025,1671629783.079,533,111580,63472
211100,14553.90250025,1671629783.079,533,111580,63472
211101,14553.916659766666,1671629783.079,533,111581,63493
211101,14553.916659766666,1671629783.079,533,111581,63493
211102,14553.930819283334,1671629783.079,533,111525,63465
211102,14553.930819283334,1671629783.079,533,111525,63465
211103,14553.9449788,1671629783.079,532,111569,63465
211103,14553.9449788,1671629783.079,532,111569,63465
211104,14553.962688916667,1671629783.185,532,111598,63479
211104,14553.962688916667,1671629783.185,532,111598,63479
211105,14553.980399033333,1671629783.185,532,111489,63461
211105,14553.980399033333,1671629783.185,532,111489,63461
211106,14553.998109150001,1671629783.185,534,111493,63444
211106,14553.998109150001,1671629783.185,534,111493,63444
211107,14554.015819266668,1671629783.185,533,111524,63443
211107,14554.015819266668,1671629783.185,533,111524,63443
211108,14554.033529383334,1671629783.185,532,111555,63445
211108,14554.033529383334,1671629783.185,532,111555,63445
211109,14554.0512395,1671629783.185,534,111535,63452
211109,14554.0512395,1671629783.185,534,111535,63452
211110,14554.06651115,1671629783.277,531,111570,63438
211110,14554.06651115,1671629783.277,531,111570,63438
211111,14554.0817828,1671629783.277,531,111512,63448
211111,14554.0817828,1671629783.277,531,111512,63448
211112,14554.097054450001,1671629783.277,531,111491,63436
211112,14554.097054450001,1671629783.277,531,111491,63436
211113,14554.112326100001,1671629783.277,532,111422,63426
211113,14554.112326100001,1671629783.277,532,111422,63426
211114,14554.12759775,1671629783.277,535,111437,63429
211114,14554.12759775,1671629783.277,535,111437,63429
211115,14554.1428694,1671629783.277,534,111551,63442
211115,14554.1428694,1671629783.277,534,111551,63442
211116,14554.15773045,1671629783.366,533,111528,63447
211116,14554.15773045,1671629783.366,533,111528,63447
211117,14554.1725915,1671629783.366,535,111517,63442
211117,14554.1725915,1671629783.366,535,111517,63442
211118,14554.18745255,1671629783.366,533,111487,63441
211118,14554.18745255,1671629783.366,533,111487,63441
211119,14554.2023136,1671629783.366,532,111517,63428
211119,14554.2023136,1671629783.366,532,111517,63428
211120,14554.21717465,1671629783.366,532,111536,63443
211120,14554.21717465,1671629783.366,532,111536,63443
211121,14554.2320357,1671629783.366,532,111543,63427
211121,14554.2320357,1671629783.366,532,111543,63427
211122,14554.247667483334,1671629783.46,532,111479,63442
211122,14554.247667483334,1671629783.46,532,111479,63442
211123,14554.263299266668,1671629783.46,533,111530,63444
211123,14554.263299266668,1671629783.46,533,111530,63444
211124,14554.278931050001,1671629783.46,534,111508,63416
211124,14554.278931050001,1671629783.46,534,111508,63416
211125,14554.294562833333,1671629783.46,532,111560,63435
211125,14554.294562833333,1671629783.46,532,111560,63435
211126,14554.310194616666,1671629783.46,532,111611,63439
211126,14554.310194616666,1671629783.46,532,111611,63439
211127,14554.3258264,1671629783.46,533,111606,63441
211127,14554.3258264,1671629783.46,533,111606,63441
211128,14554.340654666667,1671629783.548,531,111526,63419
211128,14554.340654666667,1671629783.548,531,111526,63419
211129,14554.355482933333,1671629783.548,534,111477,63418
211129,14554.355482933333,1671629783.548,534,111477,63418
211130,14554.3703112,1671629783.548,533,111558,63441
211130,14554.3703112,1671629783.548,533,111558,63441
211131,14554.385139466665,1671629783.548,534,111633,63444
211131,14554.385139466665,1671629783.548,534,111633,63444
211132,14554.399967733332,1671629783.548,534,111528,63429
211132,14554.399967733332,1671629783.548,534,111528,63429
211133,14554.414796,1671629783.548,534,111625,63437
211133,14554.414796,1671629783.548,534,111625,63437
211134,14554.431327433333,1671629783.648,533,111603,63442
211134,14554.431327433333,1671629783.648,533,111603,63442
211135,14554.447858866666,1671629783.648,531,111592,63447
211135,14554.447858866666,1671629783.648,531,111592,63447
211136,14554.4643903,1671629783.648,532,111640,63461
211136,14554.4643903,1671629783.648,532,111640,63461
211137,14554.480921733333,1671629783.648,532,111657,63436
211137,14554.480921733333,1671629783.648,532,111657,63436
211138,14554.497453166667,1671629783.648,533,111659,63456
211138,14554.497453166667,1671629783.648,533,111659,63456
211139,14554.5139846,1671629783.648,533,111623,63449
211139,14554.5139846,1671629783.648,533,111623,63449
211140,14554.530265916666,1671629783.745,534,111587,63422
211140,14554.530265916666,1671629783.745,534,111587,63422
211141,14554.546547233333,1671629783.745,534,111584,63429
211141,14554.546547233333,1671629783.745,534,111584,63429
211142,14554.562828549999,1671629783.745,532,111653,63428
211142,14554.562828549999,1671629783.745,532,111653,63428
211143,14554.579109866667,1671629783.745,530,111692,63456
211143,14554.579109866667,1671629783.745,530,111692,63456
211144,14554.595391183333,1671629783.745,533,111657,63438
211144,14554.595391183333,1671629783.745,533,111657,63438
211145,14554.6116725,1671629783.745,532,111624,63446
211145,14554.6116725,1671629783.745,532,111624,63446
211146,14554.62636655,1671629783.834,533,111782,63457
211146,14554.62636655,1671629783.834,533,111782,63457
211147,14554.641060599999,1671629783.834,533,111717,63455
211147,14554.641060599999,1671629783.834,533,111717,63455
211148,14554.65575465,1671629783.834,532,111707,63450
211148,14554.65575465,1671629783.834,532,111707,63450
211149,14554.6704487,1671629783.834,534,111759,63444
211149,14554.6704487,1671629783.834,534,111759,63444
211150,14554.68514275,1671629783.834,532,111812,63485
211150,14554.68514275,1671629783.834,532,111812,63485
211151,14554.6998368,1671629783.834,531,111785,63451
211151,14554.6998368,1671629783.834,531,111785,63451
211152,14554.715256766667,1671629783.926,532,111764,63430
211152,14554.715256766667,1671629783.926,532,111764,63430
211153,14554.730676733334,1671629783.926,532,111761,63417
211153,14554.730676733334,1671629783.926,532,111761,63417
211154,14554.7460967,1671629783.926,531,111687,63417
211154,14554.7460967,1671629783.926,531,111687,63417
211155,14554.761516666667,1671629783.926,532,111710,63427
211155,14554.761516666667,1671629783.926,532,111710,63427
211156,14554.776936633334,1671629783.926,534,111572,63408
211156,14554.776936633334,1671629783.926,534,111572,63408
211157,14554.7923566,1671629783.926,534,111638,63392
211157,14554.7923566,1671629783.926,534,111638,63392
211158,14554.8072962,1671629784.016,532,111650,63401
211158,14554.8072962,1671629784.016,532,111650,63401
211159,14554.8222358,1671629784.016,531,111708,63436
211159,14554.8222358,1671629784.016,531,111708,63436
211160,14554.8371754,1671629784.016,530,111707,63417
211160,14554.8371754,1671629784.016,530,111707,63417
211161,14554.852115,1671629784.016,531,111751,63436
211161,14554.852115,1671629784.016,531,111751,63436
211162,14554.8670546,1671629784.016,532,111677,63429
211162,14554.8670546,1671629784.016,532,111677,63429
211163,14554.8819942,1671629784.016,533,111628,63444
211163,14554.8819942,1671629784.016,533,111628,63444
211164,14554.898485166666,1671629784.115,535,111641,63413
211164,14554.898485166666,1671629784.115,535,111641,63413
211165,14554.914976133332,1671629784.115,532,111722,63416
211165,14554.914976133332,1671629784.115,532,111722,63416
211166,14554.9314671,1671629784.115,534,111685,63410
211166,14554.9314671,1671629784.115,534,111685,63410
211167,14554.947958066667,1671629784.115,532,111585,63389
211167,14554.947958066667,1671629784.115,532,111585,63389
211168,14554.964449033332,1671629784.115,533,111633,63388
211168,14554.964449033332,1671629784.115,533,111633,63388
211169,14554.98094,1671629784.115,532,111591,63404
211169,14554.98094,1671629784.115,532,111591,63404
211170,14554.9967975,1671629784.21,532,111627,63399
211170,14554.9967975,1671629784.21,532,111627,63399
211171,14555.012655,1671629784.21,533,111694,63375
211171,14555.012655,1671629784.21,533,111694,63375
211172,14555.028512500001,1671629784.21,533,111666,63408
211172,14555.028512500001,1671629784.21,533,111666,63408
211173,14555.04437,1671629784.21,533,111728,63394
211173,14555.04437,1671629784.21,533,111728,63394
211174,14555.0602275,1671629784.21,532,111703,63403
211174,14555.0602275,1671629784.21,532,111703,63403
211175,14555.076085,1671629784.21,532,111679,63407
211175,14555.076085,1671629784.21,532,111679,63407
211176,14555.090377816667,1671629784.296,530,111791,63415
211176,14555.090377816667,1671629784.296,530,111791,63415
211177,14555.104670633335,1671629784.296,531,111665,63394
211177,14555.104670633335,1671629784.296,531,111665,63394
211178,14555.11896345,1671629784.296,533,111644,63371
211178,14555.11896345,1671629784.296,533,111644,63371
211179,14555.133256266667,1671629784.296,531,111774,63398
211179,14555.133256266667,1671629784.296,531,111774,63398
211180,14555.147549083335,1671629784.296,533,111750,63383
211180,14555.147549083335,1671629784.296,533,111750,63383
211181,14555.1618419,1671629784.296,533,111642,63380
211181,14555.1618419,1671629784.296,533,111642,63380
211182,14555.178931850001,1671629784.398,533,111715,63384
211182,14555.178931850001,1671629784.398,533,111715,63384
211183,14555.1960218,1671629784.398,534,111670,63394
211183,14555.1960218,1671629784.398,534,111670,63394
211184,14555.21311175,1671629784.398,533,111744,63378
211184,14555.21311175,1671629784.398,533,111744,63378
211185,14555.2302017,1671629784.398,530,111740,63400
211185,14555.2302017,1671629784.398,530,111740,63400
211186,14555.247291650001,1671629784.398,533,111853,63405
211186,14555.247291650001,1671629784.398,533,111853,63405
211187,14555.2643816,1671629784.398,531,111836,63392
211187,14555.2643816,1671629784.398,531,111836,63392
211188,14555.280099483334,1671629784.492,534,111810,63381
211188,14555.280099483334,1671629784.492,534,111810,63381
211189,14555.295817366667,1671629784.492,533,111803,63396
211189,14555.295817366667,1671629784.492,533,111803,63396
211190,14555.311535249999,1671629784.492,533,111801,63397
211190,14555.311535249999,1671629784.492,533,111801,63397
211191,14555.327253133333,1671629784.492,532,111844,63397
211191,14555.327253133333,1671629784.492,532,111844,63397
211192,14555.342971016667,1671629784.492,531,111846,63427
211192,14555.342971016667,1671629784.492,531,111846,63427
211193,14555.3586889,1671629784.492,531,111782,63409
211193,14555.3586889,1671629784.492,531,111782,63409
211194,14555.372796399999,1671629784.577,531,111906,63401
211194,14555.372796399999,1671629784.577,531,111906,63401
211195,14555.3869039,1671629784.577,532,111906,63404
211195,14555.3869039,1671629784.577,532,111906,63404
211196,14555.401011400001,1671629784.577,533,111873,63412
211196,14555.401011400001,1671629784.577,533,111873,63412
