id,lsl_ts,unix_ts,ambient,ir,red
151164,12760.393732366667,1671627989.541,543,103429,60909
151164,12760.393732366667,1671627989.541,543,103429,60909
151165,12760.396432133333,1671627989.541,522,112805,61287
151165,12760.396432133333,1671627989.541,522,112805,61287
151166,12760.399131900002,1671627989.541,522,112691,61281
151166,12760.399131900002,1671627989.541,522,112691,61281
151167,12760.401831666668,1671627989.541,523,112769,61258
151167,12760.401831666668,1671627989.541,523,112769,61258
151168,12760.404531433334,1671627989.541,523,112722,61232
151168,12760.404531433334,1671627989.541,523,112722,61232
151169,12760.4072312,1671627989.541,522,112701,61236
151169,12760.4072312,1671627989.541,522,112701,61236
151170,12760.416663566668,1671627989.597,522,112629,61216
151170,12760.416663566668,1671627989.597,522,112629,61216
151171,12760.426095933333,1671627989.597,521,112636,61191
151171,12760.426095933333,1671627989.597,521,112636,61191
151172,12760.4355283,1671627989.597,519,112594,61193
151172,12760.4355283,1671627989.597,519,112594,61193
151173,12760.444960666668,1671627989.597,520,112628,61178
151173,12760.444960666668,1671627989.597,520,112628,61178
151174,12760.454393033333,1671627989.597,520,112649,61166
151174,12760.454393033333,1671627989.597,520,112649,61166
151175,12760.4638254,1671627989.597,520,112603,61188
151175,12760.4638254,1671627989.597,520,112603,61188
151176,12760.477496916666,1671627989.679,523,112661,61155
151176,12760.477496916666,1671627989.679,523,112661,61155
151177,12760.491168433333,1671627989.679,521,112609,61152
151177,12760.491168433333,1671627989.679,521,112609,61152
151178,12760.504839950001,1671627989.679,520,112596,61180
151178,12760.504839950001,1671627989.679,520,112596,61180
151179,12760.518511466667,1671627989.679,520,112591,61129
151179,12760.518511466667,1671627989.679,520,112591,61129
151180,12760.532182983334,1671627989.679,520,112584,61144
151180,12760.532182983334,1671627989.679,520,112584,61144
151181,12760.5458545,1671627989.679,518,112592,61129
151181,12760.5458545,1671627989.679,518,112592,61129
151182,12760.5599547,1671627989.764,520,112542,61130
151182,12760.5599547,1671627989.764,520,112542,61130
151183,12760.5740549,1671627989.764,520,112633,61123
151183,12760.5740549,1671627989.764,520,112633,61123
151184,12760.5881551,1671627989.764,519,112579,61125
151184,12760.5881551,1671627989.764,519,112579,61125
151185,12760.6022553,1671627989.764,519,112609,61132
151185,12760.6022553,1671627989.764,519,112609,61132
151186,12760.6163555,1671627989.764,519,112589,61128
151186,12760.6163555,1671627989.764,519,112589,61128
151187,12760.6304557,1671627989.764,518,112581,61111
151187,12760.6304557,1671627989.764,518,112581,61111
151188,12760.645703850001,1671627989.856,517,112587,61112
151188,12760.645703850001,1671627989.856,517,112587,61112
151189,12760.660952,1671627989.856,519,112600,61139
151189,12760.660952,1671627989.856,519,112600,61139
151190,12760.67620015,1671627989.856,521,112636,61131
151190,12760.67620015,1671627989.856,521,112636,61131
