id,lsl_ts,unix_ts,battery_level,temperature_c,fuel_gauge_voltage
257,13030.8643249,1671628259.998,60,0,3203.2000000000003
257,13030.8643249,1671628259.998,60,0,3203.2000000000003
258,13041.1972157,1671628270.331,65,0,3218.6000000000004
258,13041.1972157,1671628270.331,65,0,3218.6000000000004
259,13051.5206222,1671628280.654,60,0,3212.0000000000005
259,13051.5206222,1671628280.654,60,0,3212.0000000000005
260,13061.8379335,1671628290.972,45,0,3163.6000000000004
260,13061.8379335,1671628290.972,45,0,3163.6000000000004
261,13072.1562852,1671628301.29,55,0,3194.4
261,13072.1562852,1671628301.29,55,0,3194.4
262,13082.4763164,1671628311.61,60,0,3209.8
262,13082.4763164,1671628311.61,60,0,3209.8
263,13092.7975282,1671628321.931,60,0,3209.8
263,13092.7975282,1671628321.931,60,0,3209.8
264,13103.1224196,1671628332.256,60,0,3212.0000000000005
264,13103.1224196,1671628332.256,60,0,3212.0000000000005
265,13113.4363831,1671628342.57,60,0,3209.8
265,13113.4363831,1671628342.57,60,0,3209.8
266,13123.7578617,1671628352.892,50,0,3183.4
266,13123.7578617,1671628352.892,50,0,3183.4
267,13134.0781073,1671628363.212,55,0,3196.6000000000004
267,13134.0781073,1671628363.212,55,0,3196.6000000000004
268,13144.4043644,1671628373.538,60,0,3207.6000000000004
268,13144.4043644,1671628373.538,60,0,3207.6000000000004
269,13154.733642,1671628383.868,60,0,3207.6000000000004
269,13154.733642,1671628383.868,60,0,3207.6000000000004
270,13165.0439802,1671628394.178,60,0,3205.4
270,13165.0439802,1671628394.178,60,0,3205.4
271,13175.3573735,1671628404.491,55,0,3201.0000000000005
271,13175.3573735,1671628404.491,55,0,3201.0000000000005
272,13196.0276556,1671628425.162,60,0,3205.4
272,13196.0276556,1671628425.162,60,0,3205.4
273,13196.0534745,1671628425.188,60,0,3205.4
273,13196.0534745,1671628425.188,60,0,3205.4
274,13206.3466936,1671628435.481,55,0,3198.8
274,13206.3466936,1671628435.481,55,0,3198.8
275,13206.3743028,1671628435.508,55,0,3198.8
275,13206.3743028,1671628435.508,55,0,3198.8
276,13216.6611415,1671628445.795,50,0,3179.0000000000005
276,13216.6611415,1671628445.795,50,0,3179.0000000000005
277,13216.6991138,1671628445.833,50,0,3179.0000000000005
277,13216.6991138,1671628445.833,50,0,3179.0000000000005
278,13226.9868518,1671628456.121,60,0,3207.6000000000004
278,13226.9868518,1671628456.121,60,0,3207.6000000000004
279,13227.0175315,1671628456.152,60,0,3207.6000000000004
279,13227.0175315,1671628456.152,60,0,3207.6000000000004
280,13237.289506,1671628466.424,60,0,3203.2000000000003
280,13237.289506,1671628466.424,60,0,3203.2000000000003
281,13237.3073007,1671628466.441,60,0,3203.2000000000003
281,13237.3073007,1671628466.441,60,0,3203.2000000000003
282,13247.6106285,1671628476.745,60,0,3207.6000000000004
282,13247.6106285,1671628476.745,60,0,3207.6000000000004
283,13247.6340872,1671628476.768,60,0,3207.6000000000004
283,13247.6340872,1671628476.768,60,0,3207.6000000000004
284,13257.915683,1671628487.05,60,0,3203.2000000000003
284,13257.915683,1671628487.05,60,0,3203.2000000000003
285,13257.9644045,1671628487.098,60,0,3203.2000000000003
285,13257.9644045,1671628487.098,60,0,3203.2000000000003
286,13268.2388756,1671628497.373,60,0,3209.8
286,13268.2388756,1671628497.373,60,0,3209.8
287,13268.2663209,1671628497.4,60,0,3209.8
287,13268.2663209,1671628497.4,60,0,3209.8
288,13278.5423661,1671628507.676,60,0,3205.4
288,13278.5423661,1671628507.676,60,0,3205.4
289,13278.574559,1671628507.709,60,0,3205.4
289,13278.574559,1671628507.709,60,0,3205.4
290,13288.8617326,1671628517.996,55,0,3201.0000000000005
290,13288.8617326,1671628517.996,55,0,3201.0000000000005
291,13288.8959529,1671628518.03,55,0,3201.0000000000005
291,13288.8959529,1671628518.03,55,0,3201.0000000000005
292,13299.1806111,1671628528.315,50,0,3183.4
292,13299.1806111,1671628528.315,50,0,3183.4
293,13299.2090759,1671628528.343,50,0,3183.4
293,13299.2090759,1671628528.343,50,0,3183.4
294,13309.4857596,1671628538.62,60,0,3205.4
294,13309.4857596,1671628538.62,60,0,3205.4
295,13309.5220812,1671628538.656,60,0,3205.4
295,13309.5220812,1671628538.656,60,0,3205.4
296,13319.8045404,1671628548.938,60,0,3205.4
296,13319.8045404,1671628548.938,60,0,3205.4
297,13319.8212006,1671628548.955,60,0,3205.4
297,13319.8212006,1671628548.955,60,0,3205.4
298,13330.1129444,1671628559.247,60,0,3203.2000000000003
298,13330.1129444,1671628559.247,60,0,3203.2000000000003
299,13330.1470612,1671628559.281,60,0,3203.2000000000003
299,13330.1470612,1671628559.281,60,0,3203.2000000000003
300,13340.4335229,1671628569.567,50,0,3185.6000000000004
300,13340.4335229,1671628569.567,50,0,3185.6000000000004
301,13340.4674949,1671628569.601,50,0,3185.6000000000004
301,13340.4674949,1671628569.601,50,0,3185.6000000000004
302,13350.7599536,1671628579.894,60,0,3203.2000000000003
302,13350.7599536,1671628579.894,60,0,3203.2000000000003
303,13350.7881799,1671628579.922,60,0,3203.2000000000003
303,13350.7881799,1671628579.922,60,0,3203.2000000000003
304,13361.0665169,1671628590.2,55,0,3198.8
304,13361.0665169,1671628590.2,55,0,3198.8
305,13361.10239,1671628590.236,55,0,3198.8
305,13361.10239,1671628590.236,55,0,3198.8
