id,lsl_ts,unix_ts,ambient,ir,red
181788,13644.221057416667,1671628873.369,517,111891,64412
181788,13644.221057416667,1671628873.369,517,111891,64412
181789,13644.223775033333,1671628873.369,516,124598,65304
181789,13644.223775033333,1671628873.369,516,124598,65304
181790,13644.22649265,1671628873.369,514,124647,65304
181790,13644.22649265,1671628873.369,514,124647,65304
181791,13644.229210266667,1671628873.369,515,124581,65283
181791,13644.229210266667,1671628873.369,515,124581,65283
181792,13644.231927883335,1671628873.369,515,124568,65272
181792,13644.231927883335,1671628873.369,515,124568,65272
181793,13644.2346455,1671628873.369,515,124532,65264
181793,13644.2346455,1671628873.369,515,124532,65264
181794,13644.2443003,1671628873.426,516,124585,65247
181794,13644.2443003,1671628873.426,516,124585,65247
181795,13644.2539551,1671628873.426,515,124632,65255
181795,13644.2539551,1671628873.426,515,124632,65255
181796,13644.263609900001,1671628873.426,515,124580,65252
181796,13644.263609900001,1671628873.426,515,124580,65252
181797,13644.2732647,1671628873.426,515,124538,65234
181797,13644.2732647,1671628873.426,515,124538,65234
181798,13644.2829195,1671628873.426,515,124522,65255
181798,13644.2829195,1671628873.426,515,124522,65255
181799,13644.2925743,1671628873.426,515,124621,65263
181799,13644.2925743,1671628873.426,515,124621,65263
181800,13644.305862583333,1671628873.506,515,124506,65234
181800,13644.305862583333,1671628873.506,515,124506,65234
181801,13644.319150866666,1671628873.506,516,124543,65257
181801,13644.319150866666,1671628873.506,516,124543,65257
181802,13644.33243915,1671628873.506,514,124612,65250
181802,13644.33243915,1671628873.506,514,124612,65250
181803,13644.345727433334,1671628873.506,514,124630,65250
181803,13644.345727433334,1671628873.506,514,124630,65250
181804,13644.359015716667,1671628873.506,512,124638,65251
181804,13644.359015716667,1671628873.506,512,124638,65251
181805,13644.372304,1671628873.506,514,124607,65237
181805,13644.372304,1671628873.506,514,124607,65237
181806,13644.3881076,1671628873.601,512,124615,65275
181806,13644.3881076,1671628873.601,512,124615,65275
181807,13644.403911200001,1671628873.601,515,124588,65278
181807,13644.403911200001,1671628873.601,515,124588,65278
181808,13644.4197148,1671628873.601,515,124631,65276
181808,13644.4197148,1671628873.601,515,124631,65276
181809,13644.4355184,1671628873.601,514,124649,65265
181809,13644.4355184,1671628873.601,514,124649,65265
181810,13644.451322,1671628873.601,514,124642,65275
181810,13644.451322,1671628873.601,514,124642,65275
181811,13644.4671256,1671628873.601,515,124717,65303
181811,13644.4671256,1671628873.601,515,124717,65303
181812,13644.483164683334,1671628873.697,512,124696,65279
181812,13644.483164683334,1671628873.697,512,124696,65279
181813,13644.499203766667,1671628873.697,511,124721,65281
181813,13644.499203766667,1671628873.697,511,124721,65281
181814,13644.51524285,1671628873.697,512,124638,65269
181814,13644.51524285,1671628873.697,512,124638,65269
181815,13644.531281933334,1671628873.697,514,124671,65256
181815,13644.531281933334,1671628873.697,514,124671,65256
181816,13644.547321016667,1671628873.697,514,124600,65254
181816,13644.547321016667,1671628873.697,514,124600,65254
181817,13644.5633601,1671628873.697,512,124553,65209
181817,13644.5633601,1671628873.697,512,124553,65209
181818,13644.578470983333,1671628873.788,514,124531,65193
181818,13644.578470983333,1671628873.788,514,124531,65193
181819,13644.593581866668,1671628873.788,514,124441,65202
181819,13644.593581866668,1671628873.788,514,124441,65202
181820,13644.60869275,1671628873.788,511,124483,65190
181820,13644.60869275,1671628873.788,511,124483,65190
181821,13644.623803633332,1671628873.788,514,124509,65206
181821,13644.623803633332,1671628873.788,514,124509,65206
181822,13644.638914516667,1671628873.788,511,124453,65206
181822,13644.638914516667,1671628873.788,511,124453,65206
181823,13644.6540254,1671628873.788,511,124466,65202
181823,13644.6540254,1671628873.788,511,124466,65202
181824,13644.670514866666,1671628873.887,514,124428,65181
181824,13644.670514866666,1671628873.887,514,124428,65181
181825,13644.687004333333,1671628873.887,511,124457,65178
181825,13644.687004333333,1671628873.887,511,124457,65178
181826,13644.7034938,1671628873.887,515,124428,65193
181826,13644.7034938,1671628873.887,515,124428,65193
181827,13644.719983266667,1671628873.887,514,124437,65197
181827,13644.719983266667,1671628873.887,514,124437,65197
181828,13644.736472733333,1671628873.887,514,124476,65200
181828,13644.736472733333,1671628873.887,514,124476,65200
181829,13644.7529622,1671628873.887,512,124412,65197
181829,13644.7529622,1671628873.887,512,124412,65197
181830,13644.7681494,1671628873.978,514,124434,65199
181830,13644.7681494,1671628873.978,514,124434,65199
181831,13644.7833366,1671628873.978,515,124445,65196
181831,13644.7833366,1671628873.978,515,124445,65196
181832,13644.7985238,1671628873.978,515,124380,65214
181832,13644.7985238,1671628873.978,515,124380,65214
181833,13644.813711,1671628873.978,514,124416,65197
181833,13644.813711,1671628873.978,514,124416,65197
181834,13644.8288982,1671628873.978,515,124463,65196
181834,13644.8288982,1671628873.978,515,124463,65196
181835,13644.8440854,1671628873.978,512,124418,65198
181835,13644.8440854,1671628873.978,512,124418,65198
181836,13644.859785749999,1671628874.072,512,124439,65185
181836,13644.859785749999,1671628874.072,512,124439,65185
181837,13644.8754861,1671628874.072,512,124476,65198
181837,13644.8754861,1671628874.072,512,124476,65198
181838,13644.89118645,1671628874.072,512,124447,65174
181838,13644.89118645,1671628874.072,512,124447,65174
181839,13644.9068868,1671628874.072,514,124422,65186
181839,13644.9068868,1671628874.072,514,124422,65186
