id,lsl_ts,unix_ts,ambient,ir,red
79074,10869.2816489,1671626098.43,531,111381,69478
79074,10869.2816489,1671626098.43,531,111381,69478
79075,10869.2847138,1671626098.43,509,123900,71063
79075,10869.2847138,1671626098.43,509,123900,71063
79076,10869.2877787,1671626098.43,508,124054,71080
79076,10869.2877787,1671626098.43,508,124054,71080
79077,10869.2908436,1671626098.43,509,124025,71115
79077,10869.2908436,1671626098.43,509,124025,71115
79078,10869.2939085,1671626098.43,507,124127,71122
79078,10869.2939085,1671626098.43,507,124127,71122
79079,10869.2969734,1671626098.43,506,124187,71149
79079,10869.2969734,1671626098.43,506,124187,71149
79080,10869.309413966666,1671626098.505,508,124212,71182
79080,10869.309413966666,1671626098.505,508,124212,71182
79081,10869.321854533333,1671626098.505,507,124241,71184
79081,10869.321854533333,1671626098.505,507,124241,71184
79082,10869.3342951,1671626098.505,508,124251,71210
79082,10869.3342951,1671626098.505,508,124251,71210
79083,10869.346735666666,1671626098.505,508,124221,71178
79083,10869.346735666666,1671626098.505,508,124221,71178
79084,10869.359176233333,1671626098.505,508,124258,71219
79084,10869.359176233333,1671626098.505,508,124258,71219
79085,10869.3716168,1671626098.505,506,124246,71195
79085,10869.3716168,1671626098.505,506,124246,71195
79086,10869.377766633334,1671626098.542,507,124299,71208
79086,10869.377766633334,1671626098.542,507,124299,71208
79087,10869.383916466666,1671626098.542,508,124280,71247
79087,10869.383916466666,1671626098.542,508,124280,71247
79088,10869.390066299999,1671626098.542,508,124347,71270
79088,10869.390066299999,1671626098.542,508,124347,71270
79089,10869.396216133333,1671626098.542,508,124409,71260
79089,10869.396216133333,1671626098.542,508,124409,71260
79090,10869.402365966667,1671626098.542,507,124431,71285
79090,10869.402365966667,1671626098.542,507,124431,71285
79091,10869.4085158,1671626098.542,507,124493,71295
79091,10869.4085158,1671626098.542,507,124493,71295
79092,10869.42425145,1671626098.636,505,124417,71280
79092,10869.42425145,1671626098.636,505,124417,71280
79093,10869.4399871,1671626098.636,506,124330,71268
79093,10869.4399871,1671626098.636,506,124330,71268
79094,10869.45572275,1671626098.636,507,124173,71210
79094,10869.45572275,1671626098.636,507,124173,71210
79095,10869.4714584,1671626098.636,507,124076,71123
79095,10869.4714584,1671626098.636,507,124076,71123
79096,10869.48719405,1671626098.636,508,123919,71112
79096,10869.48719405,1671626098.636,508,123919,71112
79097,10869.5029297,1671626098.636,508,123838,71091
79097,10869.5029297,1671626098.636,508,123838,71091
79098,10869.518212716666,1671626098.728,507,123868,71095
79098,10869.518212716666,1671626098.728,507,123868,71095
79099,10869.533495733333,1671626098.728,506,123804,71076
79099,10869.533495733333,1671626098.728,506,123804,71076
79100,10869.548778749999,1671626098.728,507,123824,71058
79100,10869.548778749999,1671626098.728,507,123824,71058
79101,10869.564061766667,1671626098.728,507,123727,71085
79101,10869.564061766667,1671626098.728,507,123727,71085
79102,10869.579344783333,1671626098.728,506,123766,71070
79102,10869.579344783333,1671626098.728,506,123766,71070
79103,10869.5946278,1671626098.728,507,123711,71084
79103,10869.5946278,1671626098.728,507,123711,71084
79104,10869.610674883334,1671626098.824,508,123845,71087
79104,10869.610674883334,1671626098.824,508,123845,71087
79105,10869.626721966666,1671626098.824,509,123772,71101
79105,10869.626721966666,1671626098.824,509,123772,71101
79106,10869.642769049999,1671626098.824,508,123772,71068
79106,10869.642769049999,1671626098.824,508,123772,71068
79107,10869.658816133333,1671626098.824,507,123782,71081
79107,10869.658816133333,1671626098.824,507,123782,71081
79108,10869.674863216667,1671626098.824,507,123799,71100
79108,10869.674863216667,1671626098.824,507,123799,71100
79109,10869.6909103,1671626098.824,506,123816,71101
79109,10869.6909103,1671626098.824,506,123816,71101
79110,10869.708084083333,1671626098.927,507,123919,71115
79110,10869.708084083333,1671626098.927,507,123919,71115
79111,10869.725257866667,1671626098.927,507,123981,71124
79111,10869.725257866667,1671626098.927,507,123981,71124
79112,10869.74243165,1671626098.927,507,123920,71130
79112,10869.74243165,1671626098.927,507,123920,71130
79113,10869.759605433333,1671626098.927,506,123958,71123
79113,10869.759605433333,1671626098.927,506,123958,71123
79114,10869.776779216667,1671626098.927,507,123978,71132
79114,10869.776779216667,1671626098.927,507,123978,71132
79115,10869.793953,1671626098.927,508,123875,71117
79115,10869.793953,1671626098.927,508,123875,71117
79116,10869.810921,1671626099.029,507,123939,71127
79116,10869.810921,1671626099.029,507,123939,71127
79117,10869.827889,1671626099.029,507,123959,71145
79117,10869.827889,1671626099.029,507,123959,71145
79118,10869.844857,1671626099.029,509,123980,71144
79118,10869.844857,1671626099.029,509,123980,71144
79119,10869.861825,1671626099.029,506,123988,71137
79119,10869.861825,1671626099.029,506,123988,71137
79120,10869.878793,1671626099.029,507,124061,71167
79120,10869.878793,1671626099.029,507,124061,71167
79121,10869.895761,1671626099.029,507,124037,71168
79121,10869.895761,1671626099.029,507,124037,71168
79122,10869.909978016667,1671626099.114,508,124039,71169
79122,10869.909978016667,1671626099.114,508,124039,71169
79123,10869.924195033333,1671626099.114,508,123952,71181
79123,10869.924195033333,1671626099.114,508,123952,71181
79124,10869.93841205,1671626099.114,507,123991,71185
79124,10869.93841205,1671626099.114,507,123991,71185
79125,10869.952629066667,1671626099.114,508,124011,71177
79125,10869.952629066667,1671626099.114,508,124011,71177
79126,10869.966846083333,1671626099.114,506,123988,71183
79126,10869.966846083333,1671626099.114,506,123988,71183
79127,10869.9810631,1671626099.114,508,124041,71185
79127,10869.9810631,1671626099.114,508,124041,71185
79128,10869.995112183333,1671626099.199,506,124105,71219
79128,10869.995112183333,1671626099.199,506,124105,71219
79129,10870.009161266667,1671626099.199,507,123956,71208
79129,10870.009161266667,1671626099.199,507,123956,71208
79130,10870.02321035,1671626099.199,506,124003,71204
79130,10870.02321035,1671626099.199,506,124003,71204
79131,10870.037259433333,1671626099.199,507,123989,71235
79131,10870.037259433333,1671626099.199,507,123989,71235
79132,10870.051308516668,1671626099.199,506,123976,71220
79132,10870.051308516668,1671626099.199,506,123976,71220
79133,10870.0653576,1671626099.199,507,123974,71233
79133,10870.0653576,1671626099.199,507,123974,71233
79134,10870.081767466667,1671626099.297,506,123950,71238
79134,10870.081767466667,1671626099.297,506,123950,71238
79135,10870.098177333333,1671626099.297,507,123965,71211
79135,10870.098177333333,1671626099.297,507,123965,71211
79136,10870.114587200002,1671626099.297,508,123942,71217
79136,10870.114587200002,1671626099.297,508,123942,71217
79137,10870.130997066668,1671626099.297,508,123871,71164
79137,10870.130997066668,1671626099.297,508,123871,71164
79138,10870.147406933334,1671626099.297,506,123810,71162
